br.gov.frameworkdemoiselle.component	demoiselle-vaadin-parent	2.3.0		N/A
com.disneystreaming	weaver-monix-bio_2.12	0.6.13		b88d31a6d1e50d178a542dbef9f8774c8789ed13
com.disneystreaming	weaver-monix-bio_2.12	0.6.14		a4c18efd42acc90639a50a6f19da0f35f2927219
com.disneystreaming	weaver-monix-bio_2.12	0.6.15		17f7e754d384e05f852c883d268de321752047b4
com.disneystreaming	weaver-monix-bio_2.12	0.6.2		7fc6b1dbf6e902c0f829e558ae9778fa92626cfa
com.disneystreaming	weaver-monix-bio_2.12	0.6.3		2f98cbc94cd0d925158cdc2c88dc46fa08898136
com.disneystreaming	weaver-monix-bio_2.12	0.6.4		e2b53d2de6de3d995802ddf471c9a59c1fd02cc2
com.disneystreaming	weaver-monix-bio_2.12	0.6.5		a13ad5873a040a27002c4f5aed002ebb4daa3eaa
com.disneystreaming	weaver-monix-bio_2.12	0.6.6		6f00a0529c0ae342dd765e957dfe1fe35594c129
com.disneystreaming	weaver-monix-bio_2.12	0.6.7		bc61ba0d02630580ed8c0cded2b396fd588ebb23
com.disneystreaming	weaver-monix-bio_2.12	0.6.8		0525ec696952398b4a4402af9bf4e8b9109d9c9d
com.disneystreaming	weaver-monix-bio_2.12	0.6.9		9ad3a35c6d2425695cca7a00ac2c132717a57d98
com.everysight	mav1-native	2.6.0		N/A
com.fudok	play-dok_2.11	1.0-play2.3		f2ad3e60a2b4a79b0871db3a8f631902bd49992a
com.github.duanxinyuan	library-json-jackson	1.0.0		54210b879ae3948098d209999d42ead20cfb93af
com.github.duanxinyuan	library-json-jackson	1.1.0		4938f2603dee89cdb5a806bc6920f7a3dd2e4088
com.github.jnoee	xo-starter-fastdfs	1.0.0		f6c2ce2362aecd237fdedf5d3b911cd3f7a2ce8d
com.github.jnoee	xo-starter-fastdfs	1.0.1		44830ede50fade773d9aa9a50ed8c285600275ae
com.github.pureconfig	pureconfig-ip4s_2.13	0.17.1		97a1f4c376fd94135e90dab94cad983a0d5358f6
com.github.pureconfig	pureconfig-ip4s_2.13	0.17.2		96e3e86e25ffd8082c047fd03e735cb7e5a692df
com.github.pureconfig	pureconfig-ip4s_2.13	0.17.3		dcccb4447a7690602ee925956fd536d552a8ec5a
com.github.pureconfig	pureconfig-ip4s_2.13	0.17.4		5807cc644b54a2b239df4f195186719d74b5c523
com.github.pureconfig	pureconfig-ip4s_2.13	0.17.5		bdd24ceb64ea5183869114e95b19b5162b45ade7
com.github.pureconfig	pureconfig-ip4s_2.13	0.17.6		a3b3bccdb3d64e97a8b0612c14ea5786fac9dff7
com.github.pureconfig	pureconfig-ip4s_2.13	0.17.7		8dc2ddb30c3caf75bc06c60570e34a0219617e91
com.github.pureconfig	pureconfig-ip4s_2.13	0.17.8		e778fffad14c992b8b8be40238a26d81b78f365c
com.github.pureconfig	pureconfig-ip4s_2.13	0.17.9		48e1521737aff364de4ac580a615bbce5c7a7111
com.github.treeleafj	test	1.0-RELEASE		670400a3ebaacd04ef3f51df7835b20501f2467f
com.github.treeleafj	test	1.1		ab05f0b9a0ef19bc05d345295046099ac6c0ba95
com.github.treeleafj	test	1.1-RELEASE		73b071d2fb5345214179df3e37010cc0712cdcd0
com.github.treeleafj	test	1.2		8c540c0b9c6a1eab948bf2735f21a6b01b603838
com.google.code.facebookapi	parent-pom	2.0.1		N/A
com.google.code.facebookapi	parent-pom	2.0.2		N/A
com.google.code.facebookapi	parent-pom	2.0.3		N/A
com.google.code.facebookapi	parent-pom	2.0.4		N/A
com.google.code.facebookapi	parent-pom	2.0.5		N/A
com.google.code.facebookapi	parent-pom	2.0.6		N/A
com.google.code.facebookapi	parent-pom	2.1.0		N/A
com.google.code.facebookapi	parent-pom	2.1.1		N/A
com.google.code.facebookapi	parent-pom	3.0.1		N/A
com.google.code.facebookapi	parent-pom	3.0.2		N/A
com.google.code.facebookapi	parent-pom	3.0.4		N/A
com.gu	scanamo-refined_2.11	1.0.0-M6		95d03a7b71433779b3a51f8d1d0353f552631f53
com.gu	scanamo-refined_2.11	1.0.0-M7		6daef376d642c4f06bb27c6b29c9a7dc0518d4cf
com.gu	scanamo-refined_2.11	1.0.0-M8		09e2a6dc4043b6443c7fe05e8adbc0a73dfc6ad1
com.guardsquare	proguard-retrace	7.0.0		bf16c06b8328a7e639ccb0eb0915ac6009379ea8
com.guardsquare	proguard-retrace	7.0.1		edb72f2c804bba17e6aa69103878117d2a85fc8a
com.guardsquare	proguard-retrace	7.1.0		77b606e91563c178d0ab821804d828988cd869d8
com.guardsquare	proguard-retrace	7.1.0-beta3		b3ed486076bbdf44b366d69aa0f86f943441b195
com.guardsquare	proguard-retrace	7.1.0-beta4		eb5d2211e296c3505afd107d5e8fe0cbb4b3ee46
com.guardsquare	proguard-retrace	7.1.0-beta5		b3141c6c83ffbaf1fbf1f14c844017af25cb0554
com.guardsquare	proguard-retrace	7.1.1		3743d81536d19204fc7321749184b86ed724a9e0
com.guardsquare	proguard-retrace	7.2.0		611cf70c28710dc0dbde4674555b7fc72d4d8e8f
com.guardsquare	proguard-retrace	7.2.0-beta1		b49442f6e2eb905b1b812316d68b4fd811046f32
com.guardsquare	proguard-retrace	7.2.0-beta2		33cb170198308573613357b87d724b1894903656
com.guardsquare	proguard-retrace	7.2.0-beta3		2e057983fcae865de5e37d04fe8e7f1aa8dd3599
com.guardsquare	proguard-retrace	7.2.0-beta4		9f2f33fc2e10a1f0ae1516f1ccf4f5e8651881d5
com.guardsquare	proguard-retrace	7.2.0-beta5		81d934e7dd660045e4447fb6267058d6350c21a0
com.guardsquare	proguard-retrace	7.2.0-beta6		442eaf1be3c486216a650104ea561c4499b38dd7
com.guardsquare	proguard-retrace	7.2.1		db0e4e99a3b1c262d1b8bae3a80cf8b811380742
com.guardsquare	proguard-retrace	7.2.2		def4679a4478f9dc25b620457ed21fdcc1f0b2a9
com.guardsquare	proguard-retrace	7.3.0		af328f92ca023a12bc92ee0af057d6cd5842f1cc
com.guardsquare	proguard-retrace	7.3.0-beta1		fee932ba149e8193ae0de7537535b17467027336
com.guardsquare	proguard-retrace	7.3.0-beta2		5e140d620153f5756c2665366bc20f0a6f41ee2a
com.guardsquare	proguard-retrace	7.3.1		e2f25c2e2fbf2b436ee1aa8ab4641f9824ea682b
com.guardsquare	proguard-retrace	7.3.2		b684096052b7c6b125046235f990f62c88780166
com.guardsquare	proguard-retrace	7.4.0		d6355d8e46f83af32f012cdb036054ad8e6676bc
com.guardsquare	proguard-retrace	7.4.0-beta01		0e853e1788c3f8834719556726014d34166100d6
com.guardsquare	proguard-retrace	7.4.0-beta02		a8f75497dafacad08884029bdad43072d56389b5
com.guardsquare	proguard-retrace	7.4.1		b201744fea8f635661b0e89b5f8d987d36e3cb4f
com.guardsquare	proguard-retrace	7.4.2		e834e07de62a9af1a266ae422c2052754e0fe91b
com.guardsquare	proguard-retrace	7.5.0		1298c0ba730c1c2e1af433678bb64fb180e4aa1e
com.guardsquare	proguard-retrace	7.5.0	all	47dd9da3842ba08bea3e1307bd6c3780cc666052
com.guardsquare	proguard-retrace	7.6.0		a8373c97185467671fc3a75e3e3984e192c3229a
com.guardsquare	proguard-retrace	7.6.0	all	73af7072399b5062096d2ec007cea88038a31f3a
com.guardsquare	proguard-retrace	7.6.1		10dbc5595e43e9402f2e028e2a6ad41cba6af4bb
com.guardsquare	proguard-retrace	7.6.1	all	3a0823ddd39740fde72d73c1b4e1a8e46880b91e
com.guardsquare	proguard-retrace	7.7.0		16f1d4e86a9dc6fb38b6207ec0e62c06fc230022
com.guardsquare	proguard-retrace	7.7.0	all	1d4a9ed4bfab6f817b2cf90f6c7de1537f4eae7f
com.intoverflow.booster	booster-dependencies-database	1.1.1		652ca7e05f9938789f9c9425edc336e9dad42e26
com.kailuowang	henkan-convert_sjs1_2.12	0.6.5		761c7cdecef682bbc9a6dc1aca03d18c7cb18738
com.lightbend.akka	akka-stream-alpakka-couchbase_2.13	1.1.0		5b9230c39a531948317a943e3cd5b13e3179943a
com.lightbend.akka	akka-stream-alpakka-couchbase_2.13	1.1.1		e7292fbb6461456fdbca46b3b6c7eca74a94d061
com.lightbend.akka	akka-stream-alpakka-couchbase_2.13	1.1.2		84eb2cdfbe034ff04955205fd4e92982ad41b032
com.lightbend.akka	akka-stream-alpakka-couchbase_2.13	2.0.0		8eadf65aa97d32d33b2b05a173f61332e1f0c5e1
com.lightbend.akka	akka-stream-alpakka-couchbase_2.13	2.0.0-M1		2d673651512301cc42391e89ec827b31f3d290ff
com.lightbend.akka	akka-stream-alpakka-couchbase_2.13	2.0.0-M2		41146cb8fe5aee648fe53acef2bfc22862f086b7
com.lightbend.akka	akka-stream-alpakka-couchbase_2.13	2.0.0-M3		16f7a063bbddfa41781557c212466d131b2cb462
com.lightbend.akka	akka-stream-alpakka-couchbase_2.13	2.0.0-RC1		8e47fcae33a8ba368813d5cb7b1baaef406e9018
com.lightbend.akka	akka-stream-alpakka-couchbase_2.13	2.0.0-RC2		7f415457759fc2ca5ed15d396a1ef06d2fbf9386
com.lightbend.akka	akka-stream-alpakka-couchbase_2.13	2.0.1		4ca54a3ff8d00d51fe2206ed069291a677ff1d46
com.lightbend.akka	akka-stream-alpakka-couchbase_2.13	2.0.2		72b5fa4161b0b15bdf4f0052555ea7ac3ced4aa4
com.lightbend.akka	akka-stream-alpakka-couchbase_2.13	3.0.0		24039e0a492f9cafdbf911fe4a3261c6a5d29254
com.lightbend.akka	akka-stream-alpakka-couchbase_2.13	3.0.0-M1		a6ff749801031fe00b2dfe5d1fdd323313b95372
com.lightbend.akka	akka-stream-alpakka-couchbase_2.13	3.0.1		2f12f3a6828263bb3a94b454281877e6d8c9504e
com.lightbend.akka	akka-stream-alpakka-couchbase_2.13	3.0.2		46ab48a0bcb9e8478aac6ece79ee6df780c2f90d
com.lightbend.akka	akka-stream-alpakka-couchbase_2.13	3.0.3		04e63f7d26d017827e6f8a41233f3bfad75b9332
com.lightbend.akka	akka-stream-alpakka-couchbase_2.13	3.0.4		aabaf93e4c6c91371bcbb15a4755c6b5dd79e9dd
com.lightbend.akka	akka-stream-alpakka-couchbase_2.13	4.0.0		b277fb578ed44e3bcdf8e2e5d878f0064a0ff4be
com.lightbend.akka	akka-stream-alpakka-couchbase_2.13	4.0.0-M1		85041bb26e0b036e4686eb1e8b5e06c6dfb588fd
com.lightbend.akka	akka-stream-alpakka-couchbase_2.13	5.0.0		4fade460ac3ae2b1b15874cafb6b0093325be75c
com.lightbend.akka	akka-stream-alpakka-couchbase_2.13	5.0.0-M1		6b424561b61997db988ab55f89239475641e143e
com.lightbend.akka	akka-stream-alpakka-couchbase_2.13	5.0.0-M2		1af93ce250581ff0e685511f5cd823379c1901a7
com.lightbend.akka	akka-stream-alpakka-couchbase_2.13	5.1.0-M1		3e94e8ff2a7b16f246c44f8238d749fc50b1adf6
com.lightbend.akka	akka-stream-alpakka-couchbase_2.13	6.0.0		2a7cc4e4d60fbafc977afe511ee404bf6e64e502
com.lightbend.akka	akka-stream-alpakka-couchbase_2.13	6.0.1		8bf7168d42f99def070c01a372fbad7e128bba43
com.lightbend.akka	akka-stream-alpakka-couchbase_2.13	6.0.2		8d26c967f3f6e817ccbb014ceeff7b6661d973c2
com.lihaoyi	scalite_2.11	0.1.0		1b6f961f493d801167835720a61ec6149af0960e
com.michael-bull.kotlin-retry	kotlin-retry-result-js	2.0.1		N/A
com.microsoft.bing	bing-newsearch	1.0.0		6eb541878ed1659009b91d8d82d319cc91207736
com.milesight.beaveriot	data-jpa	1.0.0		ac47048a16c8b75f81c2e9ff91188c4aebd007aa
com.oracle.coherence.ce	coherence-bedrock	14.1.2-0-0		f519970da50bc31a590d0f8bc0b857fd0c187f7d
com.oracle.coherence.ce	coherence-bedrock	14.1.2-0-1		95d8e1525e3393da3282d7e7483bc1a2509979ea
com.oracle.coherence.ce	coherence-bedrock	14.1.2-0-2		9818f2e6e00b04d0b19df3e8592775540868ade8
com.oracle.coherence.ce	coherence-bedrock	22.06		ea831dd252793fc62e59e44e90b1c879cec09386
com.oracle.coherence.ce	coherence-bedrock	22.06.1		5481d4469bf6be9ddccb7f225e15e64efffb2073
com.oracle.coherence.ce	coherence-bedrock	22.06.10		b58286394e55f552c99580096c695330f431ab0d
com.oracle.coherence.ce	coherence-bedrock	22.06.11		be1d529cce940cace77e27841c72de184ed118bc
com.oracle.coherence.ce	coherence-bedrock	22.06.12		afd8567a255591c6effe0f015e32ef2cc1bc51e7
com.oracle.coherence.ce	coherence-bedrock	22.06.2		bfe9412789303c8b8ed581f65bbb8274db2ecc90
com.oracle.coherence.ce	coherence-bedrock	22.06.3		8ef1bfcfbb4602ef81f8f148f45674c6fa8a29d4
com.oracle.coherence.ce	coherence-bedrock	22.06.4		516e0349e4498aff779fbecf97591488b6d4e76a
com.oracle.coherence.ce	coherence-bedrock	22.06.5		28ea056efc330532a966669ae99daa9468dabbfc
com.oracle.coherence.ce	coherence-bedrock	22.06.6		6c40e3c337aa96649de5527041acfe129e8425db
com.oracle.coherence.ce	coherence-bedrock	22.06.7		330367b73e299b57e5b4720aeb88f0ad1f435ea6
com.oracle.coherence.ce	coherence-bedrock	22.06.8		bccd02f4c4212bc42910b2205f535126775a3eba
com.oracle.coherence.ce	coherence-bedrock	22.06.9		1270605bba1db3b246e8e8059516ac952a4368b5
com.oracle.coherence.ce	coherence-bedrock	22.09		179e1cb5936c7762576b8061d3ea32b3e64dbcad
com.oracle.coherence.ce	coherence-bedrock	23.03		a5168618fa5ddaba18480904864fcedd4a3cc7b0
com.oracle.coherence.ce	coherence-bedrock	23.03.1		330897086a08bf89a06685088f6f1be58d7c31ca
com.oracle.coherence.ce	coherence-bedrock	23.09		bac280ce3155989958ed72b243867f0dddee6b78
com.oracle.coherence.ce	coherence-bedrock	23.09.1		eb43327dd111bd800a5e1ca1822cc47d4a1600d2
com.oracle.coherence.ce	coherence-bedrock	23.09.2		b5854b39573720f3c8bf86d1872e67b0a070590a
com.oracle.coherence.ce	coherence-bedrock	24.03		f75a9bee7307d7177f45869d449ccdec052df92a
com.oracle.coherence.ce	coherence-bedrock	24.03.1		0fa945102325525a415e81a2ed7ca3efc6ccff04
com.oracle.coherence.ce	coherence-bedrock	24.09		d740a43d3a66a24416f2530869f4b9322dbc30c3
com.oracle.coherence.ce	coherence-bedrock	24.09.1		b998951ca54ce422552734de94b5bb09b1aa152c
com.oracle.coherence.ce	coherence-bedrock	24.09.2		500a797a012b40fe28f5d18a41119e4432dab314
com.oracle.coherence.ce	coherence-bedrock	24.09.3		090e294eeb7695641b48899d2678cc457d43ca7f
com.oracle.coherence.ce	coherence-bedrock	25.03		e6a11512995c28a69c4d14b98c1643a23916d489
com.oracle.coherence.ce	coherence-bedrock	25.03.1		6a61b507e02f27995c3f1bbf1a98713d33d353c3
com.powsybl	powsybl-optimizer-commons	0.12.0		ad9092cd4c6fbbe60328cfab6aa9ba443bdff476
com.raxdenstudios	commons-android-binding	1.0.4		N/A
com.raxdenstudios	commons-android-binding	1.0.5		N/A
com.raxdenstudios	commons-android-binding	1.0.6		N/A
com.raxdenstudios	commons-android-binding	1.0.7		N/A
com.raxdenstudios	commons-android-binding	1.0.8		N/A
com.raxdenstudios	commons-android-binding	1.0.9		N/A
com.vladsch.kotlin-jdbc	kotlin-jdbc	0.1.2		N/A
com.vladsch.kotlin-jdbc	kotlin-jdbc	0.1.4		4a1a230f2b1a880d0ec598a28b2a13cc3b43c0d9
com.vladsch.kotlin-jdbc	kotlin-jdbc	0.1.6		abc0479b5c471815b719eb870116853ef06c0be0
com.vladsch.kotlin-jdbc	kotlin-jdbc	0.1.8		14d545f19c42446402b50d0e79f8899d64313ee4
com.vladsch.kotlin-jdbc	kotlin-jdbc	0.2.0		7e77f65f24bd0dee8a3e7179ad828bb9dcdf2def
com.vladsch.kotlin-jdbc	kotlin-jdbc	0.2.18		ca6d0b8b12bce600d7cd928e2076883ae0107978
com.vladsch.kotlin-jdbc	kotlin-jdbc	0.2.24		5b6b7dcac82c6fb8b46764f003c8575253616fe5
com.vladsch.kotlin-jdbc	kotlin-jdbc	0.2.26		f57309b38706d3d8d6b3c66734cca1c7657dbee2
com.vladsch.kotlin-jdbc	kotlin-jdbc	0.3.0		9f60fdf0489244e625457d0583fe33c4601b0116
com.vladsch.kotlin-jdbc	kotlin-jdbc	0.3.2		ca8e5e4df17a6dac4a953b7d3c422a4047ed50ac
com.vladsch.kotlin-jdbc	kotlin-jdbc	0.3.4		3a257f6f1f3b781c2547cee2bdea8cd300eff71a
com.vladsch.kotlin-jdbc	kotlin-jdbc	0.4.0		ac7960bfd814107ec6d07c87676de0392f9e11aa
com.vladsch.kotlin-jdbc	kotlin-jdbc	0.4.10		87a3cd95ccbd2fadb18742dc9474c59b17c42d4d
com.vladsch.kotlin-jdbc	kotlin-jdbc	0.4.2		3dbff8724826f0e18aa069daa3103f22de7d0e93
com.vladsch.kotlin-jdbc	kotlin-jdbc	0.4.4		a8855cf3010068736e7c8a2bd8c01fd7449f6d27
com.vladsch.kotlin-jdbc	kotlin-jdbc	0.4.8		9c3749a17d82506ed7f741395c95c3586edc7137
com.vladsch.kotlin-jdbc	kotlin-jdbc	0.5.0		703a85a11b5f5be6b4b83d0fe2d371f5e038a1ed
com.vladsch.kotlin-jdbc	kotlin-jdbc	0.5.0-beta-1		84616f3486d46d801ce54cefe25b95350bab4d4f
com.vladsch.kotlin-jdbc	kotlin-jdbc	0.5.0-beta-2		d2ea043df3056470d8e5a733e47a6ee851ad920a
com.vladsch.kotlin-jdbc	kotlin-jdbc	0.5.0-beta-3		21cae85aea779037998ab7520985799244e7941d
com.vladsch.kotlin-jdbc	kotlin-jdbc	0.5.0-beta-4		52b885b7a12d37ea6eac4585de3df2881b29063a
com.vladsch.kotlin-jdbc	kotlin-jdbc	0.5.0-beta-5		13d5b5e69a5db036244da2f47d2004caf516708f
com.vladsch.kotlin-jdbc	kotlin-jdbc	0.5.0-beta-6		e7aba887716dae787d154b4cb4096ec79b7acda9
com.vladsch.kotlin-jdbc	kotlin-jdbc	0.5.0-beta-7		ad34b8c9455de0b412f5b5f68f24c7dcdf7493b6
com.vladsch.kotlin-jdbc	kotlin-jdbc	0.5.2		bd0419a5cd962e1b5b75c06cd60981e3aadd50f4
com.vmware.pscoe.maven.plugins	vra-ng-package-maven-plugin	2.30.0		1e003e3f218dc30bc91413f3a3a70a28770f7f69
com.vmware.pscoe.maven.plugins	vra-ng-package-maven-plugin	2.31.0		9f2919c84e28a01c975bc3102f1fc26967a1ab92
com.vmware.pscoe.maven.plugins	vra-ng-package-maven-plugin	2.31.1		beb2393e24c623581afa40ac69df838ecd02ec3e
com.vmware.pscoe.maven.plugins	vra-ng-package-maven-plugin	2.31.2		ede7bbc8d24a4f65f0aa28d259ffaf7247d0c965
com.vmware.pscoe.maven.plugins	vra-ng-package-maven-plugin	2.32.0		ecc948b6f71eec9781e19822d70008f82de35a8f
com.vmware.pscoe.maven.plugins	vra-ng-package-maven-plugin	2.33.0		1959b620b72732596ca59e8111c182174f16b2c3
com.vmware.pscoe.maven.plugins	vra-ng-package-maven-plugin	2.34.0		c8d5851fe33b008866feb56fb780383ccf576895
com.vmware.pscoe.maven.plugins	vra-ng-package-maven-plugin	2.35.0		4f2bb27f21f8a8638eb66f146993a1b6b051a2c7
com.vmware.pscoe.maven.plugins	vra-ng-package-maven-plugin	2.35.1		91abd01239e487422ea9d3aa24d0b53da91fd76d
com.vmware.pscoe.maven.plugins	vra-ng-package-maven-plugin	2.36.0		44ad121a602ca5598a45197ea199a1bacc8e8920
com.vmware.pscoe.maven.plugins	vra-ng-package-maven-plugin	2.37.0		4a9e2a38c150c78adb5cbc93b2cd52bafcb2325a
com.vmware.pscoe.maven.plugins	vra-ng-package-maven-plugin	2.38.0		39fdd0e9a73f1d45e72ee73a45b8f18d95cc8875
com.vmware.pscoe.maven.plugins	vra-ng-package-maven-plugin	2.38.1		ef4214bd2e89d8e4f857ef8fa233f5e970bf411c
com.vmware.pscoe.maven.plugins	vra-ng-package-maven-plugin	2.39.0		83d010ea5ddb0e4c330725474c75330fb3850405
com.vmware.pscoe.maven.plugins	vra-ng-package-maven-plugin	2.40.0		ce710150b3401682037ac015e6b8f7151477037a
com.vmware.pscoe.maven.plugins	vra-ng-package-maven-plugin	2.41.0		cd81fb8230180c06ce44be02edbfdec77666b9c5
com.vmware.pscoe.maven.plugins	vra-ng-package-maven-plugin	2.42.0		b531883de1b699e8fe0b3d97e64cb591a0a111a1
com.vmware.pscoe.maven.plugins	vra-ng-package-maven-plugin	2.43.0		2065c73c81c89c6a4f8f644190c19ba6d7d7e45d
com.vmware.pscoe.maven.plugins	vra-ng-package-maven-plugin	2.44.0		5a48b06084e00faf59fadf932d62afc536679720
com.vmware.pscoe.maven.plugins	vra-ng-package-maven-plugin	3.0.0		ee1acc6be049eea319b888a7a2974c21cbc10bd9
com.vmware.pscoe.maven.plugins	vra-ng-package-maven-plugin	3.1.0		efe904464a475705833a419e70db33228df12004
com.vmware.pscoe.maven.plugins	vra-ng-package-maven-plugin	3.1.1		6e28f0339f2d83f814785a43e57551822c860da4
com.vmware.pscoe.maven.plugins	vra-ng-package-maven-plugin	3.2.0		197e60a16891d5a902999046568e6e80c3b643e5
com.vmware.pscoe.maven.plugins	vra-ng-package-maven-plugin	4.0.0		8a629cfea5aa33b2bf4994e71efcaaf6a9220de4
com.vmware.pscoe.maven.plugins	vra-ng-package-maven-plugin	4.1.0		e06eec447ed3276f25a34a1967297b2b53b2126a
com.vmware.pscoe.maven.plugins	vra-ng-package-maven-plugin	4.2.0		011394163359e2af6b6ea6b50f1414579520cfac
com.vmware.pscoe.maven.plugins	vra-ng-package-maven-plugin	4.2.1		950e9481bd4734d3eac3abc2fa0fccc7d93bb9b4
com.vmware.pscoe.maven.plugins	vra-ng-package-maven-plugin	4.3.0		db11e13ff2d7c1738fb57582527425c4b60211ad
com.vmware.pscoe.maven.plugins	vra-ng-package-maven-plugin	4.4.0		4486ca0d0a3e3c25cf9176941096bf368027861d
com.vmware.pscoe.maven.plugins	vra-ng-package-maven-plugin	4.4.1		8975cdd01571f48ee62eaab98e0e371005725e4f
com.vmware.pscoe.maven.plugins	vra-ng-package-maven-plugin	4.5.0		f35cf89b8096e8b850b01d578e7ce4436fd317e4
de.mirkosertic.bytecoder	java.desktop	2019-11-03		c6de1cc8faf20966fcc261c65d59e47fd18b71fe
de.mirkosertic.bytecoder	java.desktop	2019-11-04		775b81234dc99cecaa4fda798a1d3a6139d877eb
de.mirkosertic.bytecoder	java.desktop	2019-11-25		870940e9100e032fdf7b373db899ec07d492f649
de.mirkosertic.bytecoder	java.desktop	2019-12-08		8e6ac362c0438c1f4b4d8e92edae74ec259c5895
de.mirkosertic.bytecoder	java.desktop	2020-02-29		75b59e7ce166dccbedcecfa222767108a7692c2f
de.mirkosertic.bytecoder	java.desktop	2020-03-30		2bc0360569c638b5fb093cbb9549ed191f838451
de.mirkosertic.bytecoder	java.desktop	2020-04-09		814414591a47287968290644d98f7f0403975912
