com.facebook.android	facebook-messenger	4.39.0		N/A
com.facebook.android	facebook-messenger	4.40.0		N/A
com.facebook.android	facebook-messenger	4.41.0		N/A
com.facebook.android	facebook-messenger	4.42.0		N/A
com.facebook.android	facebook-messenger	5.0.0		N/A
com.facebook.android	facebook-messenger	5.0.1		N/A
com.facebook.android	facebook-messenger	5.0.2		N/A
com.facebook.android	facebook-messenger	5.0.3		N/A
com.facebook.android	facebook-messenger	5.1.0		N/A
com.facebook.android	facebook-messenger	5.1.1		N/A
com.facebook.android	facebook-messenger	5.11.0		N/A
com.facebook.android	facebook-messenger	5.11.1		N/A
com.facebook.android	facebook-messenger	5.11.2		N/A
com.facebook.android	facebook-messenger	5.12.0		N/A
com.facebook.android	facebook-messenger	5.12.1		N/A
com.facebook.android	facebook-messenger	5.13.0		N/A
com.facebook.android	facebook-messenger	5.15.0		N/A
com.facebook.android	facebook-messenger	5.15.1		N/A
com.facebook.android	facebook-messenger	5.15.2		N/A
com.facebook.android	facebook-messenger	5.15.3		N/A
com.facebook.android	facebook-messenger	5.2.0		N/A
com.facebook.android	facebook-messenger	5.4.0		N/A
com.facebook.android	facebook-messenger	5.5.0		N/A
com.facebook.android	facebook-messenger	5.5.1		N/A
com.facebook.android	facebook-messenger	5.5.2		N/A
com.facebook.android	facebook-messenger	5.8.0		N/A
com.facebook.android	facebook-messenger	5.9.0		N/A
com.facebook.android	facebook-messenger	6.0.0		N/A
com.facebook.android	facebook-messenger	6.1.0		N/A
com.facebook.android	facebook-messenger	6.2.0		N/A
com.facebook.android	facebook-messenger	6.3.0		N/A
com.facebook.android	facebook-messenger	6.4.0		N/A
com.facebook.android	facebook-messenger	6.5.0		N/A
com.facebook.android	facebook-messenger	6.5.1		N/A
com.facebook.android	facebook-messenger	7.0.0		N/A
com.facebook.android	facebook-messenger	7.0.1		N/A
com.facebook.android	facebook-messenger	7.1.0		N/A
com.facebook.android	facebook-messenger	8.0.0		N/A
com.facebook.android	facebook-messenger	8.1.0		N/A
com.facebook.android	facebook-messenger	8.2.0		N/A
com.facebook.android	facebook-messenger	9.0.0		N/A
com.facebook.android	facebook-messenger	9.1.0		N/A
com.facebook.android	facebook-messenger	9.1.1		N/A
com.g2forge.alexandria	ax-filesystem-test	0.0.10		ba1f538762207804a8c30d3658cda8251dee779b
com.g2forge.alexandria	ax-filesystem-test	0.0.11		53bb9d51c97f9cfe865cfefee3cdb9d504ae6c50
com.g2forge.alexandria	ax-filesystem-test	0.0.13		7b18e3c8e457125c6684934ca037229f399e21bb
com.g2forge.alexandria	ax-filesystem-test	0.0.14		0c27662c787f8717f59ff595956c1d8694381725
com.g2forge.alexandria	ax-filesystem-test	0.0.15		88a196f96341d59c7af6ea25b8271bfa6495cef7
com.g2forge.alexandria	ax-filesystem-test	0.0.16		91ce567f73bbccffbf68f00d3b516e44596310e8
com.g2forge.alexandria	ax-filesystem-test	0.0.17		d067e2360a1bc0e97b1eda88e2034f44e8ddb713
com.g2forge.alexandria	ax-filesystem-test	0.0.18		8aa696644fd7a5168ffd3c445a5c743bd59c6667
com.g2forge.alexandria	ax-filesystem-test	0.0.8		ee369630a69b233122b9b9bbeca21f90379e7cf5
com.g2forge.alexandria	ax-filesystem-test	0.0.9		240c6debd4002fc60c9366452002a90fe6f3a944
com.github.ajalt.mordant	mordant-markdown-iosx64	3.0.0		N/A
com.github.ajalt.mordant	mordant-markdown-iosx64	3.0.0	metadata	939f79e1f4b99b3e08f83090f61d0aeb17ca1ce5
com.github.ajalt.mordant	mordant-markdown-iosx64	3.0.1		N/A
com.github.ajalt.mordant	mordant-markdown-iosx64	3.0.1	metadata	786abcb377a5696864b52245779a6488e09d8df5
com.github.ajalt.mordant	mordant-markdown-iosx64	3.0.2		N/A
com.github.ajalt.mordant	mordant-markdown-iosx64	3.0.2	metadata	eeff2e72ad831a9b9a0d549d0648e9399fb73d79
com.github.cb372	scala-typed-holes_2.13.5	0.1.11		33ce7c32ce3572a17e72696c48e2dbb1b450b2a5
com.github.cb372	scala-typed-holes_2.13.5	0.1.8		f5e43c03643788deb06b26f085e8d82bf07a14d1
com.github.cb372	scala-typed-holes_2.13.5	0.1.9		f0177d17ee7c6a7107fe1a9287400d06d181cff3
com.github.pierrenodet	lunium-selenium_2.12	0.0.1		249d1d858a83f4ae08d05973db7e3f11469951ba
com.liferay	com.liferay.commerce.salesforce.connector.talend.job.deployer.lang	4.0.0		32c3cd96fd78f59c85c565c2ddc82285cf512d21
com.liferay	com.liferay.commerce.salesforce.connector.talend.job.deployer.lang	4.0.1		59997256c3ce9ca5210164ab9babbe3902c202b9
com.liferay	com.liferay.portal.remote.json.web.service.extender	1.0.0		78b82d7c7dc9c67d9f4e73aea67fab1aed75f503
com.liferay	com.liferay.portal.remote.json.web.service.extender	2.0.0		5b45906720287e69a76e545e39b16813e88f6600
com.liferay	com.liferay.portal.remote.json.web.service.extender	2.0.1		147344fe961ef4602053596a08e24bbc97b25a7f
com.liferay	com.liferay.portal.remote.json.web.service.extender	2.0.10		a594ee90ac62740e954f3afc6e383ec81070b76d
com.liferay	com.liferay.portal.remote.json.web.service.extender	2.0.11		a4bac9e441631beeff223a3d6e20a18b7e9e61c6
com.liferay	com.liferay.portal.remote.json.web.service.extender	2.0.12		54606a3bad7f5e1eef6007e67e838a09b3957550
com.liferay	com.liferay.portal.remote.json.web.service.extender	2.0.13		d636ca35008481a4f289d6f53afbdf722322f930
com.liferay	com.liferay.portal.remote.json.web.service.extender	2.0.14		f2345140e6dd16c186751b2556b0c36622a07a4f
com.liferay	com.liferay.portal.remote.json.web.service.extender	2.0.15		97f61dc4ded939f9bf12c0dc8b0bd8c653ef0392
com.liferay	com.liferay.portal.remote.json.web.service.extender	2.0.16		2fa2072d44edeab7a09cea89139b45c4d5ba5d6e
com.liferay	com.liferay.portal.remote.json.web.service.extender	2.0.2		e698e1d0aaa911217ea918e3ff00d1a38844bcad
com.liferay	com.liferay.portal.remote.json.web.service.extender	2.0.3		5987e3835290a5032f3a0d797f29f613aa5d5dcf
com.liferay	com.liferay.portal.remote.json.web.service.extender	2.0.4		37278cfcf2a2cb8cb3e09dc2df1c09dbc824e61f
com.liferay	com.liferay.portal.remote.json.web.service.extender	2.0.5		f44545dc3b01fab779bf08d9bfad3346a6e376d8
