africa.shuwari	version-zio-prelude_sjs1_3	0.5.0		c08cb3092be6d3c41ffc4a9f2581e65914147137
ai.h2o	sparkling-water-utils_2.12	3.32.1.6-1-3.1		55fc7481a8bbc9e05e7c0442b2c481cb70febac8
ai.h2o	sparkling-water-utils_2.12	3.32.1.6-1-3.1	scaladoc	3903543b6e730ebb25c87e26f2fb59f91e7e6b17
ai.h2o	sparkling-water-utils_2.12	3.32.1.7-1-3.0		2328f64e8201d32a81709f6ca7373e068b147527
ai.h2o	sparkling-water-utils_2.12	3.32.1.7-1-3.0	scaladoc	63134b2231f163ae7498a73dffa8e38309e48aa4
ai.h2o	sparkling-water-utils_2.12	3.32.1.7-1-3.1		05b766d97540d98b77dfd83e622f5e1c536a74cd
ai.h2o	sparkling-water-utils_2.12	3.32.1.7-1-3.1	scaladoc	0eef06ffc95436aeeffb93abfaf9e485d682206a
ai.h2o	sparkling-water-utils_2.12	3.34.0.1-1-3.0		2fbea5b9a9e69184d282c62859f3654cb90ab4ea
ai.h2o	sparkling-water-utils_2.12	3.34.0.1-1-3.0	scaladoc	2f4baec7afabbf9825532f547cf162226e27d128
ai.h2o	sparkling-water-utils_2.12	3.34.0.1-1-3.1		6ffb57e6d75786c3b83be35a8fa4e81955e199bd
ai.h2o	sparkling-water-utils_2.12	3.34.0.1-1-3.1	scaladoc	bd4f8c0b6ec44e8332bb0d956d386d36e2370e1e
ai.h2o	sparkling-water-utils_2.12	3.34.0.3-1-3.0		553f56a8de6be037693a348e6e5d11820412e47a
ai.h2o	sparkling-water-utils_2.12	3.34.0.3-1-3.0	scaladoc	ec5c1141ffd8bf318a6d1066703dca167d881853
ai.h2o	sparkling-water-utils_2.12	3.34.0.3-1-3.1		3d166e46a4e8770f13ed9ee6dfd06b74c048b6ce
ai.h2o	sparkling-water-utils_2.12	3.34.0.3-1-3.1	scaladoc	52bd10a84e06d04025d0ce8f62ef9af311ff2de0
ai.h2o	sparkling-water-utils_2.12	3.34.0.4-1-3.0		b303e86114abddd4a3f0f13f1ce71f0802e3cbf9
ai.h2o	sparkling-water-utils_2.12	3.34.0.4-1-3.0	scaladoc	e29a19d580734ea427774660553d780a71cd9f90
ai.h2o	sparkling-water-utils_2.12	3.34.0.4-1-3.1		77df65d9f3fddb022709c73b8d2b162bc965d248
ai.h2o	sparkling-water-utils_2.12	3.34.0.4-1-3.1	scaladoc	7f7d65efd556f9991a52ba0347dec4603e9f03ab
ai.h2o	sparkling-water-utils_2.12	3.34.0.6-1-3.0		f32a4ea7a2713b45c93116a5aa3f95ae77af118d
ai.h2o	sparkling-water-utils_2.12	3.34.0.6-1-3.0	scaladoc	8dd0383cd9b074e7f2e20faaaa98ee09070018b5
ai.h2o	sparkling-water-utils_2.12	3.34.0.6-1-3.1		e39360d1af31dde62de9063ed0e217891db7ced9
ai.h2o	sparkling-water-utils_2.12	3.34.0.6-1-3.1	scaladoc	f78bb99297637d60fb62a361d47a161d563bc0d4
ai.h2o	sparkling-water-utils_2.12	3.34.0.7-1-3.0		41a5fc4f08b9315f35632b4407584966dc26d6e3
ai.h2o	sparkling-water-utils_2.12	3.34.0.7-1-3.0	scaladoc	8d470d9df23e51756b9f126e71daecd8649033e1
ai.h2o	sparkling-water-utils_2.12	3.34.0.7-1-3.1		6e92d95feb0a55a1962ffc08a160bb7ebc1b4a92
ai.h2o	sparkling-water-utils_2.12	3.34.0.7-1-3.1	scaladoc	2064ab21393ce83342077ef763170a45040deede
ai.h2o	sparkling-water-utils_2.12	3.34.0.8-1-3.0		4b2da2703244de8a2cba55c9192c1deae23bc6aa
ai.h2o	sparkling-water-utils_2.12	3.34.0.8-1-3.0	scaladoc	18dc09e8280fd4fd23323b1a1b264284e962c337
ai.h2o	sparkling-water-utils_2.12	3.34.0.8-1-3.1		882bdff7ea68af0a517677dd0bb5d8d632b017eb
ai.h2o	sparkling-water-utils_2.12	3.34.0.8-1-3.1	scaladoc	60cb5f3ebe64c58694552c2feee714a23d48724e
ai.h2o	sparkling-water-utils_2.12	3.36.0.1-1-3.0		86305b8e86730929c8066d75aea4c7bc84e40065
ai.h2o	sparkling-water-utils_2.12	3.36.0.1-1-3.0	scaladoc	bbaae74fc7efbade8a0436046f6e6c2c18b2a4c4
ai.h2o	sparkling-water-utils_2.12	3.36.0.1-1-3.1		c0584b895339b3641e7ff99347fa094108bf15b4
ai.h2o	sparkling-water-utils_2.12	3.36.0.1-1-3.1	scaladoc	a41e7016a5113ab1fd57242bc565c2f4a5993c67
ai.h2o	sparkling-water-utils_2.12	3.36.0.2-1-3.0		e49ec2fb49e5d4b55780df66772bcba840820533
ai.h2o	sparkling-water-utils_2.12	3.36.0.2-1-3.0	scaladoc	dbfc96f8e8e08e037220b07e3023adad02432296
ai.h2o	sparkling-water-utils_2.12	3.36.0.2-1-3.1		bc0089443882d90041e142023ecd3954c296fd2f
ai.h2o	sparkling-water-utils_2.12	3.36.0.2-1-3.1	scaladoc	7483ff2ac06e208a67d01f128412b40ba12a1d8e
ai.h2o	sparkling-water-utils_2.12	3.36.0.3-1-3.0		7bf3d621cbb8fdfe4053b337571888f037da0376
ai.h2o	sparkling-water-utils_2.12	3.36.0.3-1-3.0	scaladoc	fecdcfa5f8197b9a1694f8c42fd4ae260e35229a
ai.h2o	sparkling-water-utils_2.12	3.36.0.3-1-3.1		a07597f1b601ae7269fef31a1630360ebb283b15
ai.h2o	sparkling-water-utils_2.12	3.36.0.3-1-3.1	scaladoc	b998a631649d8ba4fbd6f9ad9c5fc5fd9d55117d
ai.h2o	sparkling-water-utils_2.12	3.36.0.3-1-3.2		c2cea7a02772043649683c529f1e9e3acf2b51a1
ai.h2o	sparkling-water-utils_2.12	3.36.0.3-1-3.2	scaladoc	6cca29bd277575c07bff4e367b5009bf7d1d44ee
ai.h2o	sparkling-water-utils_2.12	3.36.0.4-1-3.0		ba3d7e13a63b948b250fa4f5713eba1090c70761
ai.h2o	sparkling-water-utils_2.12	3.36.0.4-1-3.0	scaladoc	3e7c64361e3853a7abb325621ecc671dfb7d2104
ai.h2o	sparkling-water-utils_2.12	3.36.0.4-1-3.1		31a47575bcc7915d33a528f3336e1fd82a5f4135
ai.h2o	sparkling-water-utils_2.12	3.36.0.4-1-3.1	scaladoc	ba427dadb57c0034f6ca970a9e47c8a517ebf499
ai.h2o	sparkling-water-utils_2.12	3.36.0.4-1-3.2		684f0fec0dca154ad3744fae7c13f638710d45a8
ai.h2o	sparkling-water-utils_2.12	3.36.0.4-1-3.2	scaladoc	fcedab9d1843b8cb791eeb215aead0cec727dcc3
ai.h2o	sparkling-water-utils_2.12	3.36.1.1-1-3.0		67af2e2365a69a695f75d5cffd34894e82fae889
ai.h2o	sparkling-water-utils_2.12	3.36.1.1-1-3.0	scaladoc	48d70cbf877fca3803ce930b1f75d9ca8fe0a626
ai.h2o	sparkling-water-utils_2.12	3.36.1.1-1-3.1		c076f52bc23113f763792de548803b03292ad2c6
ai.h2o	sparkling-water-utils_2.12	3.36.1.1-1-3.1	scaladoc	2e92a7b23bea92d505b8b0ea93301cfde2258653
ai.h2o	sparkling-water-utils_2.12	3.36.1.1-1-3.2		652ad21aef4f862e99dd0ba4a089fe5d317a4351
ai.h2o	sparkling-water-utils_2.12	3.36.1.1-1-3.2	scaladoc	8d6fcea4670d14af5759d1ce6a8f7da1e3790b59
ai.h2o	sparkling-water-utils_2.12	3.36.1.2-1-3.0		d4bd1dd56a93af900bad45947a0f070897c2a52b
ai.h2o	sparkling-water-utils_2.12	3.36.1.2-1-3.0	scaladoc	25ed04c1595549e45ddee97c8e17abe3e1f06826
ai.h2o	sparkling-water-utils_2.12	3.36.1.2-1-3.1		cc2bc5c6bbed5f1cdb5b3623e026e2d5f627b9bc
ai.h2o	sparkling-water-utils_2.12	3.36.1.2-1-3.1	scaladoc	9f0898f9aea2318bc10502cef5dfc006d355de99
ai.h2o	sparkling-water-utils_2.12	3.36.1.2-1-3.2		ddd1c71409448486085bffb187d195c67b13b894
ai.h2o	sparkling-water-utils_2.12	3.36.1.2-1-3.2	scaladoc	6ecad9958ae35d71c1bac3c156074a6fa9eb30f6
ai.h2o	sparkling-water-utils_2.12	3.36.1.3-1-3.0		53ee3576ba1b392d849e18c00abbae204f2bc43c
ai.h2o	sparkling-water-utils_2.12	3.36.1.3-1-3.0	scaladoc	d68539ec6039d90941c34bc1a2b2bc6868817ab3
ai.h2o	sparkling-water-utils_2.12	3.36.1.3-1-3.1		2dfc48f39c2f4f2d0408734d1943ac5b49aa5ac1
ai.h2o	sparkling-water-utils_2.12	3.36.1.3-1-3.1	scaladoc	b1490dfaf3e0385639e2307918c086148752af3d
ai.h2o	sparkling-water-utils_2.12	3.36.1.3-1-3.2		ec2d1fcba63463c5a320b56807ef13e83bcc77ab
ai.h2o	sparkling-water-utils_2.12	3.36.1.3-1-3.2	scaladoc	1fa913694d38fe81b82a35dd6689757ea9db92cd
ai.h2o	sparkling-water-utils_2.12	3.36.1.3-1-3.3		768a6891f8607aa5789e37ccf9b998f48166639b
ai.h2o	sparkling-water-utils_2.12	3.36.1.3-1-3.3	scaladoc	d6145cca39e8c4cb5e0fff2ff3b648ba63726754
ai.h2o	sparkling-water-utils_2.12	3.36.1.4-1-3.0		18939e0536d655a4657e4a9a712bb35f34387156
ai.h2o	sparkling-water-utils_2.12	3.36.1.4-1-3.0	scaladoc	76adb6ca50395e69b899e566fafbc2059566f0cc
ai.h2o	sparkling-water-utils_2.12	3.36.1.4-1-3.1		daa907a3a181d040c77c5610044297c37b1784a1
ai.h2o	sparkling-water-utils_2.12	3.36.1.4-1-3.1	scaladoc	6b14667840e84f5cb0b07e408edd8265f9c9327b
ai.h2o	sparkling-water-utils_2.12	3.36.1.4-1-3.2		73d55c363821f3d2668e493e5aad6c835af650bd
ai.h2o	sparkling-water-utils_2.12	3.36.1.4-1-3.2	scaladoc	86286034c3afbe4ba806868a2513da2acf1efb62
ai.h2o	sparkling-water-utils_2.12	3.36.1.4-1-3.3		527b3758e941e90b01770f1f9b00140e1bdd8740
ai.h2o	sparkling-water-utils_2.12	3.36.1.4-1-3.3	scaladoc	b829ae217fcf819232a79b7810905c7b289b6210
ai.h2o	sparkling-water-utils_2.12	3.36.1.5-1-3.0		cde05b4a85d55f4fd2e871ca2d861b17002b4590
ai.h2o	sparkling-water-utils_2.12	3.36.1.5-1-3.0	scaladoc	92821c0dd715764b05f6083aa194a8a01e972ab2
ai.h2o	sparkling-water-utils_2.12	3.36.1.5-1-3.1		41e7a70d08aa4080e24ecdc2469d053c3f197da7
ai.h2o	sparkling-water-utils_2.12	3.36.1.5-1-3.1	scaladoc	525e83b582072e1757ae5a71a4b619cd60703e52
ai.h2o	sparkling-water-utils_2.12	3.36.1.5-1-3.2		e4108b3477ac7b53c7dc74b42f48aa428dcc7271
ai.h2o	sparkling-water-utils_2.12	3.36.1.5-1-3.2	scaladoc	1d14249da7d783f3d88cba9c3385f55263df254e
ai.h2o	sparkling-water-utils_2.12	3.36.1.5-1-3.3		74ab6441d3f491b8cfe79c07cac9366ae0e3f8b2
ai.h2o	sparkling-water-utils_2.12	3.36.1.5-1-3.3	scaladoc	19e7dd89200d1e7338c910e6cb8be69307c17717
ai.h2o	sparkling-water-utils_2.12	3.38.0.1-1-3.0		1106e582e7277523e10236382bf61b98dea12fac
ai.h2o	sparkling-water-utils_2.12	3.38.0.1-1-3.0	scaladoc	326b9715dfdda6b859d1ae363e19435942c75250
ai.h2o	sparkling-water-utils_2.12	3.38.0.1-1-3.1		523928b93b4f7921db62f51adf4015d76862b22d
ai.h2o	sparkling-water-utils_2.12	3.38.0.1-1-3.1	scaladoc	335cf4ec9859273981a1af2d9a94c9effee72965
ai.h2o	sparkling-water-utils_2.12	3.38.0.1-1-3.2		6bec34401618c634d4b97dfebb161742c4eb7949
ai.h2o	sparkling-water-utils_2.12	3.38.0.1-1-3.2	scaladoc	541a6b2f8d9b489d31a0ac984819b43cd7a51ab5
ai.h2o	sparkling-water-utils_2.12	3.38.0.1-1-3.3		457e58d93abf81cabddc500ad42b800d665d9a5e
ai.h2o	sparkling-water-utils_2.12	3.38.0.1-1-3.3	scaladoc	b661e2367d37038e9e4cfabeae381a6cbb148e55
ai.h2o	sparkling-water-utils_2.12	3.38.0.2-1-3.0		1196a684e7688b713a9efcbdfa6264fd79de2994
ai.h2o	sparkling-water-utils_2.12	3.38.0.2-1-3.0	scaladoc	74b59208a06d96127e2bf5f0ba0962eabc18e6f5
ai.h2o	sparkling-water-utils_2.12	3.38.0.2-1-3.1		b4c67c165c14d23d4ba9647badcedc0122517ee4
ai.h2o	sparkling-water-utils_2.12	3.38.0.2-1-3.1	scaladoc	3cf6d744556f79bdb7d79bbe2348bdf0e16e371c
ai.h2o	sparkling-water-utils_2.12	3.38.0.2-1-3.2		33e96856a469a26d673a1f377282247a5c00ba61
ai.h2o	sparkling-water-utils_2.12	3.38.0.2-1-3.2	scaladoc	a19150023f936878c819017cfc135d9d0c3717f6
ai.h2o	sparkling-water-utils_2.12	3.38.0.2-1-3.3		bb9864a8322665636b0c42701b298cd1b51fd0fc
ai.h2o	sparkling-water-utils_2.12	3.38.0.2-1-3.3	scaladoc	abe82d58c9a29be603c625b8fe82c974b1982553
ai.h2o	sparkling-water-utils_2.12	3.38.0.3-1-3.0		fc8f06b576133443a11e42a6e7ca6b71b12d2d5b
ai.h2o	sparkling-water-utils_2.12	3.38.0.3-1-3.0	scaladoc	201dbd0d3e297f5e90b949c4099f21d0c9342b64
ai.h2o	sparkling-water-utils_2.12	3.38.0.3-1-3.1		bbd571fd7e972fe39678236968633dc72b85d6b8
ai.h2o	sparkling-water-utils_2.12	3.38.0.3-1-3.1	scaladoc	ccd24607e7e67dd3a8626cc9499b8b8fe80b0667
ai.h2o	sparkling-water-utils_2.12	3.38.0.3-1-3.2		8cf2e7541440bf181c6090a7de169d9219c15bce
ai.h2o	sparkling-water-utils_2.12	3.38.0.3-1-3.2	scaladoc	056b61b2e58fdf5efc501080191624765b96796b
ai.h2o	sparkling-water-utils_2.12	3.38.0.3-1-3.3		f3f73c46342a024de72598295b7336fca6bb8fae
ai.h2o	sparkling-water-utils_2.12	3.38.0.3-1-3.3	scaladoc	aab9a300c69c9a16e2dc9b8d9a60d97ecb331939
ai.h2o	sparkling-water-utils_2.12	3.38.0.4-1-3.0		4b05dd35f86bbb266cc44e0576ab351244e65d8c
ai.h2o	sparkling-water-utils_2.12	3.38.0.4-1-3.0	scaladoc	c33b6d4ad4f35dea8c9f8f2d7a99ccdc72444562
ai.h2o	sparkling-water-utils_2.12	3.38.0.4-1-3.1		6c085a92625010c9ecb38dbf86e40cc9e93f73ea
ai.h2o	sparkling-water-utils_2.12	3.38.0.4-1-3.1	scaladoc	6f1fb77a16b9212a0c6bb9a2704ab8b0c472af05
ai.h2o	sparkling-water-utils_2.12	3.38.0.4-1-3.2		6c085a92625010c9ecb38dbf86e40cc9e93f73ea
ai.h2o	sparkling-water-utils_2.12	3.38.0.4-1-3.2	scaladoc	27fe6055bbae5dac4097c61b1f49a0b79d3c2803
ai.h2o	sparkling-water-utils_2.12	3.38.0.4-1-3.3		bc9fde8630e42f2de3aba19f44fa030235853c11
ai.h2o	sparkling-water-utils_2.12	3.38.0.4-1-3.3	scaladoc	2a688f3618a1e7bea5959d7d030b623fe4c0f738
ai.h2o	sparkling-water-utils_2.12	3.40.0.1-1-3.0		4d71122a923bf92ad557f58e79dc821d1844a0bb
ai.h2o	sparkling-water-utils_2.12	3.40.0.1-1-3.0	scaladoc	5855af5ddb08ea0d650ee1d4bfe12729b30ec09f
ai.h2o	sparkling-water-utils_2.12	3.40.0.1-1-3.1		9e17873f35135e99b5e8b7c5383bf831df9126da
ai.h2o	sparkling-water-utils_2.12	3.40.0.1-1-3.1	scaladoc	5ebc4c1ab292327ebc89fe86784e4df975f92fb6
ai.h2o	sparkling-water-utils_2.12	3.40.0.1-1-3.2		e5aeadc20455c6db5464244dd61b88d9e5baa9b0
ai.h2o	sparkling-water-utils_2.12	3.40.0.1-1-3.2	scaladoc	2465b008cd634f672f142af8a84d9ba041d19265
ai.h2o	sparkling-water-utils_2.12	3.40.0.1-1-3.3		e5aeadc20455c6db5464244dd61b88d9e5baa9b0
ai.h2o	sparkling-water-utils_2.12	3.40.0.1-1-3.3	scaladoc	0d2c77aa630f276120a3206b07aa85f69a977194
ai.h2o	sparkling-water-utils_2.12	3.40.0.2-1-3.0		fd86175a12ca3d408caf7e7319b2d805e2ea6414
ai.h2o	sparkling-water-utils_2.12	3.40.0.2-1-3.0	scaladoc	eb4165f35b0bf1f8db9154e1d6d1e9eeb87966d8
ai.h2o	sparkling-water-utils_2.12	3.40.0.2-1-3.1		f5745c8cec6d9fc8d68ff6365debe1c3a81b729d
ai.h2o	sparkling-water-utils_2.12	3.40.0.2-1-3.1	scaladoc	935ab98a7b5c1d6865ef90065e6d4aac5665438f
ai.h2o	sparkling-water-utils_2.12	3.40.0.2-1-3.2		c4bb945516103dad070bce7845101d3de33a72c2
ai.h2o	sparkling-water-utils_2.12	3.40.0.2-1-3.2	scaladoc	33a517a578a8227a0e6f911577fd761af88a972b
ai.h2o	sparkling-water-utils_2.12	3.40.0.2-1-3.3		5b0d7dbf6d9f306f43a55a403118559960027944
ai.h2o	sparkling-water-utils_2.12	3.40.0.2-1-3.3	scaladoc	900b8742302a6246117eae30bdc947c334c27eab
ai.h2o	sparkling-water-utils_2.12	3.40.0.3-1-3.0		3f7f8529097cc6f78bbfcd66a3848283b2bebf02
ai.h2o	sparkling-water-utils_2.12	3.40.0.3-1-3.0	scaladoc	7cac83a1ad790b62b3f59b657433c8e0b35e5014
ai.h2o	sparkling-water-utils_2.12	3.40.0.3-1-3.1		1fbe90f8b0e450e50a665101c09ca82f5b27be6b
ai.h2o	sparkling-water-utils_2.12	3.40.0.3-1-3.1	scaladoc	21404d82d9f323aa5f95acc5a21d1e9aae9a3454
ai.h2o	sparkling-water-utils_2.12	3.40.0.3-1-3.2		cea4f622e40ae199e89d02bdc79031228a15cbe0
ai.h2o	sparkling-water-utils_2.12	3.40.0.3-1-3.2	scaladoc	19d8895e1caa80da95b38d772f61ecc2c3436fb7
ai.h2o	sparkling-water-utils_2.12	3.40.0.3-1-3.3		2260c6cbafbde99f67e4b9ea3d465dd4b9f55be6
ai.h2o	sparkling-water-utils_2.12	3.40.0.3-1-3.3	scaladoc	b31b98f6f0be4d6be86fbe6394e1a8b39f64e216
ai.h2o	sparkling-water-utils_2.12	3.40.0.4-1-3.0		71c4d98801f38d74059c0e30da00dd169f1d23ef
ai.h2o	sparkling-water-utils_2.12	3.40.0.4-1-3.0	scaladoc	18ca77087cf4f7a0bb3e1628cac1adc7d0d4be0b
ai.h2o	sparkling-water-utils_2.12	3.40.0.4-1-3.1		89f613f57cbe3c51863e465d44daf9c053dcb97b
ai.h2o	sparkling-water-utils_2.12	3.40.0.4-1-3.1	scaladoc	6b1336910b32b22f9c60b2397a92cb862c06d098
ai.h2o	sparkling-water-utils_2.12	3.40.0.4-1-3.2		e010fad61c63b0d602dfda848643929a08c44345
ai.h2o	sparkling-water-utils_2.12	3.40.0.4-1-3.2	scaladoc	1d8b0f3c221aa1d1a5a89f60adb5c9e81813c890
ai.h2o	sparkling-water-utils_2.12	3.40.0.4-1-3.3		ba55bce5b77c6fa8893a066b70eb3402b844b7eb
ai.h2o	sparkling-water-utils_2.12	3.40.0.4-1-3.3	scaladoc	4665679a914272354eb06a910bf4d56155d0aa9a
ai.h2o	sparkling-water-utils_2.12	3.42.0.1-1-3.0		3d226bff6091d74d4fa55142eadcc24129751a6b
ai.h2o	sparkling-water-utils_2.12	3.42.0.1-1-3.0	scaladoc	4c5fce07e680bb89c436b76779cbb58c4cd13f27
ai.h2o	sparkling-water-utils_2.12	3.42.0.1-1-3.1		ccc215bfdd3465a1005a9134b9bb4a3adea02fef
ai.h2o	sparkling-water-utils_2.12	3.42.0.1-1-3.1	scaladoc	5c0a884ee4e0eee0a5104655bb8fce7ecd7a76c9
ai.h2o	sparkling-water-utils_2.12	3.42.0.1-1-3.2		5e658a9464bee2b3f7406d0befa3060eb09ae69e
ai.h2o	sparkling-water-utils_2.12	3.42.0.1-1-3.2	scaladoc	3e42e5d724913efbe0ba54aeeb0312d626d7e415
ai.h2o	sparkling-water-utils_2.12	3.42.0.1-1-3.3		b2020ef6470f65072693101bf05d352eb9e9221f
ai.h2o	sparkling-water-utils_2.12	3.42.0.1-1-3.3	scaladoc	95ddf522fae041b24102e6cbc79f385acad25d44
ai.h2o	sparkling-water-utils_2.12	3.42.0.1-1-3.4		7ee01cd024c085b5e1aa151d04f1716cda10cdce
ai.h2o	sparkling-water-utils_2.12	3.42.0.1-1-3.4	scaladoc	c9ce9a7e28976bd7585141bc93daf09a40567076
ai.h2o	sparkling-water-utils_2.12	3.42.0.2-1-3.0		69d0c3fdb311a90ec00e5bbe334c5af3d1d3fbf0
ai.h2o	sparkling-water-utils_2.12	3.42.0.2-1-3.0	scaladoc	4dce789a63735602e88e42b166862b21cf913a43
ai.h2o	sparkling-water-utils_2.12	3.42.0.2-1-3.1		cbd5c5c708ba19d025d4bc61d9e2103352b3c480
ai.h2o	sparkling-water-utils_2.12	3.42.0.2-1-3.1	scaladoc	ab98bed4a062b4aee770ba22315d1cddbd974fc7
ai.h2o	sparkling-water-utils_2.12	3.42.0.2-1-3.2		08b147288427ffea55a7ff89e3b851e41ebe7355
ai.h2o	sparkling-water-utils_2.12	3.42.0.2-1-3.2	scaladoc	85a0c3fed538607a3c7c17204190693da50c69d1
ai.h2o	sparkling-water-utils_2.12	3.42.0.2-1-3.3		bac44a5eae4e841a25422365c654382e3b3bda79
ai.h2o	sparkling-water-utils_2.12	3.42.0.2-1-3.3	scaladoc	9bbed378a7f87f713c5c5899b6a420152e90392c
ai.h2o	sparkling-water-utils_2.12	3.42.0.2-1-3.4		4be186324747f3eb1c133db7875f4b9996ae356d
ai.h2o	sparkling-water-utils_2.12	3.42.0.2-1-3.4	scaladoc	2a8bd89a9ecd43748f9977abd96e789d6121f0a6
ai.h2o	sparkling-water-utils_2.12	3.42.0.3-1-3.0		dc9298ff2e9123fb55431f97c5b8c5e7552ef75c
