at.released.builder.emscripten	emscripten-plugin	0.1-alpha01		552b2da788dd5447b3949ce2f401dbe0d4b11b6a
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.8.0-M7	plugin	d5062771f4ce68a22a50f6bd0171460a4d0880d9
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.8.0-M8		b9d50972fb6770d5650e76bd7b59bbe75f0f367d
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.8.0-M8	plugin	51c6385fbdc1473d6629fbad1a044ba566d8ec78
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.8.0-M9		052b894e204f57d255a933f0aa45e0b44aa3ad15
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.8.0-M9	plugin	ef8106f47cf08c4201fc61dee6759a45ca0f5c69
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.8.0-MX		5b19d93fe25dbfac96e6de68018fc520c451e208
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.8.0-MX	plugin	5b19d93fe25dbfac96e6de68018fc520c451e208
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.0		c7675c7bee20c33ee8c6360931a0038d8ed80cae
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.0	plugin	65e99422775cc333e35a4faf4c8dc582932b5a74
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.0-M1		45ba049abd5e345a48bbffb21f2a864e69d27e46
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.0-M1	plugin	39fa7bec5599292015496a55d3ae18a1b68defbc
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.0-M10		7b62b2532ae5014d8f37bbf8faf7a0b262692feb
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.0-M10	plugin	882727b2725f4e709c0beb34c6253157d44d8452
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.0-M11		bd4f8c6311d4c65d61926e361e70c20905137382
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.0-M11	plugin	90e3e8e18886aaf3cdb2fcaa89848ddd3247412e
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.0-M12		a905e6128bef56b12fb63c30047aa28e245d4f84
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.0-M12	plugin	63fc07d5e47b21514cc9838741aea842ba955f9a
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.0-M12-1		8ef45032ca5bb6cc4d7f540e22489b745ae25e8b
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.0-M12-1	plugin	3b7acf705ce36e23c83e812e047d4ccde69d651e
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.0-M12-2		7951b9489b62803c6f634d43727adda561826f0d
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.0-M12-2	plugin	42ca5d29233372870e58768b7a094c94c5649e06
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.0-M13		14ca9538a9564d9d98f4c7e7c43f856e077da322
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.0-M13	plugin	e6225b09db590a46a5553fc85e8ab5e413614f12
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.0-M14		fd0b9f13d207fb35436cbac9e686079b7eae871a
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.0-M14	plugin	25f6a7e5c70bf4f279298132e29675521aa83cac
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.0-M2		2f3b834c68e78a5ac17335ebaaf2ade547363524
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.0-M2	plugin	6ec6c30fb6cdf6adcb42345d4448056ad1b6ec21
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.0-M3		264421d23f926a5b470c0bdf794cf3e02fa0e3ff
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.0-M3	plugin	f24b7df0d38bab4dfaffae2a90e67101b2aa4f35
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.0-M5		95ebbf9ed03613533dcb7d4ca638d0557726664d
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.0-M5	plugin	5c3c561ecb411373c96370e9102a0e5395a8a46d
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.0-M6		b7c3d015792deecf31c43c6195d076023f41fc0b
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.0-M6	plugin	bede7c41c72a9dd05a9f7a21798a369dd2020236
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.0-M7		ea7c23b00745905643975d338abff9a05b23e9b5
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.0-M7	plugin	ba8defd76df5b2d09d678768afa2866b49ee548b
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.0-M7-jdk11		f6a9c834eea617152193b204b1fe69f1608df12b
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.0-M7-jdk11	plugin	d5ee87d1302704261c858ca576b81d85469f8105
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.0-M8		3fd9687e0cbb9233fd9310cfe9f28e5e388f2d23
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.0-M8	plugin	cc6e3dbef068ecad0ff7fa4775cfddbab8701459
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.0-M9		f85618afee180b3e2a2d225715d994477c6618b7
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.0-M9	plugin	0b1cc27c801178ae868316935e4eee10013eb6fe
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.1		d8c1693d9d80b47012ae4322a2fd9c7ce9e80efc
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.1	plugin	fe67f8ca4390d6cb5c4925a39e42dde5e262f31c
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.1-M1		be9f9291c889410ce95345b474c95cd748437f16
ch.epfl.bluebrain.nexus	delta-project-deletion-plugin_2.13	1.9.1-M1	plugin	c55d8792e94edd757e8900441f756c26d741f50b
cn.leancloud	mongodb-driver	3.3.0-query-log-max-size		ed32adc9da86aa529bca09a495dee322428308af
cn.stylefeng.roses	system-business-portal	8.0.0		acdd51d81e061313576533b977de17308f83de4c
cn.stylefeng.roses	system-business-portal	8.0.1		c6a004621a451c87cee3ea2ef894427f0f4b08c3
cn.stylefeng.roses	system-business-portal	8.0.2		e7a739809c4318f010399d0ab562e0cf53a03c4c
cn.stylefeng.roses	system-business-portal	8.0.3		e95936b1b8fadee15aa5e42b068f25343ab770ad
cn.stylefeng.roses	system-business-portal	8.0.4		b6ffe64ed2e2a3e5ceb47c24dc12afaba57bdec0
cn.stylefeng.roses	system-business-portal	8.0.5		25139d82227f0608080b2547399abe191de0d889
cn.stylefeng.roses	system-business-portal	8.1.0		7dcf05e096105b618e3f1001ef3103afccb96452
cn.stylefeng.roses	system-business-portal	8.1.1		3bd35ec3d1a8f80c02d1ab7db4c6c5d72568b4e2
cn.stylefeng.roses	system-business-portal	8.1.2		74e77aa921884659969dab1e6cd0475cf57b3196
cn.stylefeng.roses	system-business-portal	8.1.3		f8cf2526640fed9565ea593efded0196ad959bcd
cn.stylefeng.roses	system-business-portal	8.1.4		add46822935a2e3ba965a4ac287f9005d2bf5911
cn.stylefeng.roses	system-business-portal	8.1.5		05fd1f745f7424b073a1dbce28b21a532422bd79
cn.stylefeng.roses	system-business-portal	8.1.6		6b1ca98fb8847ac20343ef9f9df5fee92a1b13ec
cn.stylefeng.roses	system-business-portal	8.1.7		3565e25ad2660cae7eb9e424ac87d204eb1efe8a
co.touchlab	stately-strict-wasm-js	2.0.7		N/A
co.touchlab	stately-strict-wasm-js	2.1.0		N/A
com.aliyun	alibabacloud-pts20201020	1.0.0		aad7fbaa57e4dce11907bfa93d19773c67512723
com.aliyun	alibabacloud-pts20201020	1.0.1		34182af6906ab915eb1fc528717bea61ac320aab
com.aliyun	alibabacloud-pts20201020	1.0.2		89e87abeb94eec875617ed07b78775f31dc9e046
com.aliyun	alibabacloud-pts20201020	1.0.3		fd515cba05047162916c0ef31ceb01df17d92394
com.aliyun	alibabacloud-pts20201020	1.0.4		cd6ae9c1cc726232a2aa6028df8f267a69dcf614
com.caesarealabs	rpc4k-runtime-wasmJs	0.10.1		N/A
com.caesarealabs	rpc4k-runtime-wasmJs	0.11.0		N/A
com.caesarealabs	rpc4k-runtime-wasmJs	0.12.0		N/A
com.caesarealabs	rpc4k-runtime-wasmJs	0.13.0		N/A
com.caesarealabs	rpc4k-runtime-wasmJs	0.8.0		N/A
com.caesarealabs	rpc4k-runtime-wasmJs	0.8.1		N/A
com.caesarealabs	rpc4k-runtime-wasmJs	0.8.3		N/A
com.caesarealabs	rpc4k-runtime-wasmJs	0.8.4		N/A
com.cisco.oss.foundation.directory	sd-api	1.1.0-0		37228b0592966b628d276527c301f448f1e823ae
com.cisco.oss.foundation.directory	sd-api	1.1.0-1		70862f52cf4798a59a7110085c2b1cb291c0059b
com.cisco.oss.foundation.directory	sd-api	1.1.0-10		7813bc8e620a69fac2f8f7ae77a87dfc719d2f75
com.cisco.oss.foundation.directory	sd-api	1.1.0-2		f6c9e46411ca4e6d5ad71383ef8b63b44413de07
com.cisco.oss.foundation.directory	sd-api	1.1.0-3		3e646c9c971d6ec96d17d9dfd603bd7afdb0ea8b
com.cisco.oss.foundation.directory	sd-api	1.1.0-4		ef0c983d8b6352e1b1237edf1a18f9e8a80e1412
com.cisco.oss.foundation.directory	sd-api	1.1.0-5		bdc81d0897c3d1d97c9dc4593842482f8cad56af
com.cisco.oss.foundation.directory	sd-api	1.1.0-6		b387b5a61e76a6d0ba427a427a9b3d575e37b780
com.cisco.oss.foundation.directory	sd-api	1.1.0-7		03be9ae361016d40104d6d58e0b8c0ba17bf3e79
com.cisco.oss.foundation.directory	sd-api	1.1.0-8		c5e7d04db70477ebf5f0025e78a3172b18a4479a
com.cisco.oss.foundation.directory	sd-api	1.1.0-9		62eee91f54755a5c96fb284e65839d3fc29cf461
com.cisco.oss.foundation.directory	sd-api	1.2.0-0		cf1c64ed8935e2ca5ab7e115f4a41fae80d24ffb
com.cisco.oss.foundation.directory	sd-api	1.2.0-1		2e08c711f7a986579fc0359141a60df7e0428864
com.cisco.oss.foundation.directory	sd-api	1.2.1-0		c8e1e9f04fe9a280c3b9d7bd4e963560c04f8be8
com.cisco.oss.foundation.directory	sd-api	1.2.1-2		5655f31ba743d90c5f31ace436956be50b988723
com.cisco.oss.foundation.directory	sd-api	1.2.1-3		2d76ab7bb512191358fdc2cc1f327c0d73809d1a
com.cisco.oss.foundation.directory	sd-api	1.2.1-4		cdc531c7adabfb6a10ebca8ff3dd33a4ff04dfdc
com.cisco.oss.foundation.directory	sd-api	1.2.1-5		ab5cb79715b2a3ef7936084e7435a92f1bd6851b
com.cognitect.aws	ec2-instance-connect	726.2.488.0		38274320ea88a114d762d53e9ac2f3d00a87fad4
com.cognitect.aws	ec2-instance-connect	747.2.533.0		8718c16c872575be03a6eec3af42dde80aa60178
com.cognitect.aws	ec2-instance-connect	770.2.568.0		461d33b1730d5a96195bdbb1d6d6338bc674adc1
com.cognitect.aws	ec2-instance-connect	811.2.889.0		6b5b17454352ab9d80971e66f9bf8c426aa23b04
com.cognitect.aws	ec2-instance-connect	814.2.1062.0		7db4f158978777fcba1a884dedc606ee0b6caa61
com.cognitect.aws	ec2-instance-connect	821.2.1107.0		aa0f2d3e585ea69080f0aa72a9ae616c8d0818da
com.cognitect.aws	ec2-instance-connect	822.2.1181.0		d5c4536545b45bc5becccca88d62672ab0f6db32
com.cognitect.aws	ec2-instance-connect	847.2.1365.0		e53bbd1d6e0031515fdf67f8fe8e0e58254df6ae
com.cognitect.aws	ec2-instance-connect	868.2.1580.0		da6c7bf86a62ea92ac9f0c73db55343ae981e9b6
com.cognitect.aws	ec2-instance-connect	871.2.29.35		736f971246f7956d97bd468428db6783e600b0a6
com.github.jiahaowen	spring-assistant-component-util	1.0		e5dccba2ed3dc26b9d3581337b6443b3b353b542
com.github.lionelfleury	sbt-scalajs-callgraph-utils_sjs0.6_2.10	0.1.0		e0a4ccf7718c02016d077406b8817387739492ac
com.github.lionelfleury	sbt-scalajs-callgraph-utils_sjs0.6_2.10	0.1.2		0516443abfee5a8b628c9bfbeac406476663e01e
com.github.pgreze	kounter	1.4		ca71795579abdea5d9311c5e74e0128a9d4d41bc
com.github.pgreze	kounter	1.4.1		f65443649613b1b120763018e88b56d8e53212e2
com.github.pgreze	kounter	1.4.2		1df42f779b187d82282af7ea426a63823530595a
com.github.pgreze	kounter	1.4.3		56447d90913df4b080d90cc13f7428d30f0cca9b
com.highcapable.betterandroid	compose-extension-desktop	1.0.0		0725a1036b0b2cb57da00184e56db9407cc93508
com.highcapable.betterandroid	compose-extension-desktop	1.0.1		de570c0808355d1efd4d186c04726ddbf4eeb633
com.highcapable.betterandroid	compose-extension-desktop	1.0.2		1190636c0d1f71ac11666d95637982d67358c754
com.himanshoe	kalendar-endlos	1.0.0		N/A
com.himanshoe	kalendar-endlos	1.0.0-RC1		N/A
com.himanshoe	kalendar-endlos	1.0.0-RC5		N/A
com.himanshoe	kalendar-endlos	1.0.0-RC6		N/A
com.himanshoe	kalendar-endlos	1.0.0-alpha1		N/A
com.himanshoe	kalendar-endlos	1.0.1		N/A
com.himanshoe	kalendar-endlos	1.0.2		N/A
com.himanshoe	kalendar-endlos	1.3.0		N/A
com.himanshoe	kalendar-endlos	1.3.1		N/A
com.himanshoe	kalendar-endlos	1.3.2		N/A
com.lihaoyi	ammonite_2.10.5	0.7.0		361b97f5fa08496e922c29edd22054470bc56efc
com.lihaoyi	ammonite_2.10.5	0.7.1		34a07ac38c81a36a49e4f9d892ce7cbb3844291b
com.lihaoyi	ammonite_2.10.5	0.7.2		77ff14edcb9c473700cab354592d37d73e3fcb7c
com.lihaoyi	ammonite_2.10.5	0.7.3		b16d5b83aac68a5bb52c4f8ff3e7c0f99f01aac9
com.lihaoyi	ammonite_2.10.5	0.7.4		75454cc3da9e662f07e90f615c2ff7469a18e41a
com.lihaoyi	ammonite_2.10.5	0.7.5		5b998694617b55bbdc59e971e5c2f7d1485ae5e8
com.lihaoyi	ammonite_2.10.5	0.7.6		d16f895ce3b2fea77ed97a2629818f327ca4b1d7
com.lihaoyi	ammonite_2.10.5	0.7.7		027cd7086029ac5ca49fcc6c52c451936b8b7eaf
com.lihaoyi	ammonite_2.10.5	0.7.8		51c3448149d5124fe495f76a97d763e8d4a7ed27
com.lihaoyi	ammonite_2.10.5	0.7.9		49f9451b01bc2c890250a8e89f00d6ce66405516
com.lihaoyi	ammonite_2.10.5	0.8.0		28240c7cb32dd4dbd1d9eb74d12ea6d9474fe46f
com.lihaoyi	ammonite_2.10.5	0.8.1		f2a63c88dc45689f39e1b03364bf3c95b7b5f980
com.lihaoyi	ammonite_2.10.5	0.8.2		d8e8722eea5c9ac468d7a89d7f55b320bb32ad5d
com.lihaoyi	ammonite_2.10.5	0.8.3		9a666b2abf311c02318ebef653128080e5575ab1
com.lihaoyi	ammonite_2.10.5	0.8.4		0ec18cc18eaa8e19f74b4d30bb73384dec384edd
com.lihaoyi	ammonite_2.10.5	0.8.5		e38f240d20cf95fcf9bc9bd8cd263b27b2879e6c
com.lihaoyi	ammonite_2.10.5	0.9.0		3d75cf1edf3b1e7d3d4e29fa3952c06f317e976b
com.lihaoyi	ammonite_2.10.5	0.9.1		b0faa91bd07cd59c888fc43d4533d523f8c496bd
com.lihaoyi	ammonite_2.10.5	0.9.2		c8d2dc781db5f83c0c1bc0036296e20db0e23497
com.lihaoyi	ammonite_2.10.5	0.9.3		dfd722b6b83a4b8fb148f976ae57ee0918cace48
com.lihaoyi	ammonite_2.10.5	0.9.4		a83efe9273d0a10b21f447af5de34b391abdb9b1
com.lihaoyi	ammonite_2.10.5	0.9.5		403e2f57b1be41188cce237a1a60305637a70391
com.lihaoyi	ammonite_2.10.5	0.9.6		aeb31bf74e1fbc6dd6b938ec42144904eed19e34
com.lihaoyi	ammonite_2.10.5	0.9.7		a0e3f94059f5f352cae5959aca9af04d1ca6b691
com.lihaoyi	ammonite_2.10.5	0.9.8		a04f9472cf64d0a0667bc928d2210fb805f7ab8f
com.lihaoyi	ammonite_2.10.5	0.9.9		e7050ee2bee33d8a65aad9477144274c62398db9
com.lihaoyi	ammonite_2.10.5	1.0.0		a79d5fed3a31f9e3aa75daf0dfa6574fd8f6edbe
com.lihaoyi	ammonite_2.10.5	1.0.0-10-5dc7e0b		a5f090a465ff74011d20babb1dca1ceef51e6dda
com.lihaoyi	ammonite_2.10.5	1.0.0-11-8359b9c		37370b25f182b0c5173b9abb0399fd4a1983c3c0
com.lihaoyi	ammonite_2.10.5	1.0.0-13-5091a87		f88a66a231b77ce09f98886f6ded7e44e1ede4c3
com.lihaoyi	ammonite_2.10.5	1.0.0-13-6b427ef		da4909d8822a6a08e399a42dadc08e2418a9f478
com.lihaoyi	ammonite_2.10.5	1.0.0-14-de953a2		d648ef1fcc8121397af0743c9b3f4a32403367ac
com.lihaoyi	ammonite_2.10.5	1.0.0-15-1ea8ed9		eef65ff135fca9a03ec9794d6c02db53e25f66ea
com.lihaoyi	ammonite_2.10.5	1.0.0-9-adc1ffd		946756f80fb22e5210508c9651c9a9e938a19cfb
com.lihaoyi	ammonite_2.10.5	1.0.0-RC1		bce4b1cd037b4cc10ba9d148ea36066c25697de4
com.lihaoyi	ammonite_2.10.5	1.0.0-RC2		3a1a6954b552d2a912edb5d4f9068455d299f024
com.lihaoyi	ammonite_2.10.5	1.0.0-RC3		3bf8300b5a5b790b808d2341633fb88eb7326bf5
com.lihaoyi	ammonite_2.10.5	1.0.0-RC4		515a8e74fd20c2bd3e503fe08ca40e4283ec883c
com.lihaoyi	ammonite_2.10.5	1.0.0-RC5		33dccefb4854a263e53e04c8032949ebf546b5da
com.lihaoyi	ammonite_2.10.5	1.0.0-RC6		4c3f2bbcc69dfade32b918536a29eb6876baf8f8
com.lihaoyi	ammonite_2.10.5	1.0.0-RC7		6e40d75c554ee3d8fdc1c4bff6d97224344852e8
com.lihaoyi	ammonite_2.10.5	1.0.0-RC8		ee2a3239736cac7e28927beba5d1b8d2d8e49597
com.lihaoyi	ammonite_2.10.5	1.0.0-RC9		94666a692c80db7ae1e35966d4161887cfc44812
com.lihaoyi	ammonite_2.10.5	1.0.1		3bb1d2e8c9ce54c12fb63e38fdd6f77a9e64c575
com.lihaoyi	ammonite_2.10.5	1.0.1-1-d2e04ce		57c620dc5663a8d2df7016b201c1749dbc4cdd5c
com.lihaoyi	ammonite_2.10.5	1.0.1-3-468b67b		4ea18031cd38bd743a49bc42941b9e9e22e8fef7
com.lihaoyi	ammonite_2.10.5	1.0.1-6-6d2db3a		2033824832c6c9ba4e87ce22a332976da17d48d4
com.lihaoyi	ammonite_2.10.5	1.0.1-7-865402c		637136e3fe9fa0df151fa8611db3d3d82ce3a8cf
com.lihaoyi	ammonite_2.10.5	1.0.2		f8fd1cb3aa60324621d7e5d57aab26b999896d0c
com.lihaoyi	ammonite_2.10.5	1.0.2-1-f40ad4c		61e57a4787534f2b268272d6f6b6eee3e70970c4
com.lihaoyi	ammonite_2.10.5	1.0.2-2-142491d		57bff9621237ee52b34d1168eef3bbc4d09c0fc2
