be.atbash.jakarta.config	config-parent	1.0.0		N/A
com.abubusoft	kripton	4.0.0-rc.18		c767b61c2beaa8b84e9d89d5f19ad1d8865a00a2
com.abubusoft	kripton	4.0.0-rc.19		556be9665d09181a54fe9985afcfcf357915c187
com.abubusoft	kripton	4.0.0-rc.2		fd35eb93aee0d9e448fc46b51a6fbfb5bb03cec3
com.abubusoft	kripton	4.0.0-rc.20		196a7192fbc8e625fa8381368a895bb95c91b7db
com.abubusoft	kripton	4.0.0-rc.22		e3522fb7736b8c781393b007f8acfcc49e2f9668
com.abubusoft	kripton	4.0.0-rc.3		90830127dbff2004a986d21460d335c2240ac6a3
com.abubusoft	kripton	4.0.0-rc.4		a39f466a3616dec0887f2b2d3443e79462576f83
com.abubusoft	kripton	4.0.0-rc.5		d226ad970d65b48bcc7f0f67c52177f2b84bd6e3
com.abubusoft	kripton	4.0.0-rc.6		1f2369d5f5d52c3b5633bba29a6bc305e5636c01
com.abubusoft	kripton	4.0.0-rc.7		641d990f15d0228064fe639c4533229c8069704d
com.abubusoft	kripton	4.0.0-rc.8		6a01777533b8dfea8d8817a34b4519e1c684a1a7
com.abubusoft	kripton	4.0.0-rc.9		67f32a4627b672991b18c0000f0ba0d1cfdaac0a
com.abubusoft	kripton	4.1.0-rc.1		e91805402380e8501eedfccc0dc4a647476cffa5
com.abubusoft	kripton	4.1.0-rc.10		eb3baffc7a03e5e0fce68069b4f11b69ecd50c0d
com.abubusoft	kripton	4.1.0-rc.11		bbee5e910362db7b19256dbfe9c29a53a7af1c90
com.abubusoft	kripton	4.1.0-rc.12		9b6b881bf175e68e472d3ff26f5239000f4ffa47
com.abubusoft	kripton	4.1.0-rc.13		407ffc3c0f84f9f5123be149496da4b00ba35167
com.abubusoft	kripton	4.1.0-rc.2		aa56f302053912a291dd7c2873f7b27034dcbbee
com.abubusoft	kripton	4.1.0-rc.5		ad989351b59c41ffe54168647a0495e82cbf695a
com.abubusoft	kripton	4.1.0-rc.6		8c5e0b7069b4f95e96aff49991f68073790825e4
com.abubusoft	kripton	4.1.0-rc.7		2dafd965a9785ecca8a88999015a0d666b025f06
com.abubusoft	kripton	4.1.0-rc.8		a4363314043b3ebfe0b319f32f19db90c86af369
com.abubusoft	kripton	4.1.0-rc.9		84792c36f3d7a52a1f4411ddd4bb76bf6e32c528
com.abubusoft	kripton	5.0.0		b4928e1a2b548fe48f486a5a58b5c7b467aaac2b
com.abubusoft	kripton	5.0.0-rc.1		26b6caf0fe418890163562b85835c2e7a7a76c0a
com.abubusoft	kripton	5.0.0-rc.3		190edfcc3456d25e5bf0d46f7574bb3a0fdb4e14
com.abubusoft	kripton	5.0.0-rc.4		4971fe68c99a43ee865eee99ab0f886ac0f15cfe
com.abubusoft	kripton	5.0.0-rc.5		3d80626f89eec6ff2ad4fffb1e6f99f6a69c0d59
com.abubusoft	kripton	5.1.0-rc.1		ae71af182938f4a3efb324e1bd3245abc68ace92
com.abubusoft	kripton	5.1.0-rc.2		51b0ce109b009306bedddb23d5d06aeb680dd8b3
com.abubusoft	kripton	5.1.0-rc.3		a8036a24b4496c55a6e1b85a75dee3f649ce1167
com.abubusoft	kripton	6.0.0		a418773cb082207ff9144e4a069314d7624a6c36
com.abubusoft	kripton	6.0.0-rc.1		149ab9ef77672a7d2e3ba8e050b537649b410d15
com.abubusoft	kripton	6.0.0-rc.2		9024d890979aa9cc2c812c54b07dfeb1955c02be
com.abubusoft	kripton	6.0.0-rc.3		66074d6ead390a45e3d1475746df62d585292774
com.abubusoft	kripton	6.0.0-rc.4		c5be33a17af8366eb80e420e970ecb17aa39b206
com.abubusoft	kripton	6.0.0-rc.5		ffd5083ba2ec57252ba91b65558f28ee08c5ee84
com.abubusoft	kripton	6.0.0-rc.6		7b7c0e039276418d4a0a1e0f39bd19ac19899217
com.abubusoft	kripton	6.0.0-rc.7		31416644b18671f136ee70d0cd911c2bf1b350db
com.abubusoft	kripton	7.0.0		283498158341b38ddd3dae39a9c2fd62b1e3238a
com.abubusoft	kripton	7.0.0-rc.3		b8410e406d10c45d664d681fa48d63e3582f935b
com.abubusoft	kripton	7.0.0-rc.4		b6a54401de69e226a87e0ec78f75774a3d80b89b
com.abubusoft	kripton	7.0.0-rc.6		58d8849d56e66abd5da9652ef680fe8c15bb762a
com.abubusoft	kripton	7.0.0-rc.7		ce968add6ff75061e97c6b9e249f2e03a1e22d66
com.abubusoft	kripton	7.0.0-rc.8		636066f2f0dfd3ff0338eba9ffda7f9632cc857e
com.abubusoft	kripton	8.0.0-rc.1		f52239e9acdd117c4886f4d748d7a244f1d29863
com.abubusoft	kripton	8.0.0-rc.2		5f0dde4f9670ab0fd549f66276f9ab8293f41bd8
com.abubusoft	kripton	8.0.0-rc.3		a5beed5a91d23938bb195fe5a2adedd6afd21f1f
com.abubusoft	kripton	8.0.0-rc.4		d6f8f6db727a99b64294c917f8340fb314cca151
com.abubusoft	kripton	8.0.0-rc.6		319e48fee1180d1583d367430d46693856489000
com.abubusoft	kripton	8.1.0		973329120e66d9382c42c12aa56ddd29ea8348f0
com.abubusoft	kripton	8.1.0-rc.1		5bf85979266763d3a3e4715ff9db6a78ab7eee78
com.abubusoft	kripton	8.1.0-rc.3		cfc52dd7885424f848bf51add48039afb64b3f6a
com.abubusoft	kripton	8.2.0-rc.1		f0da46228da9b58ffff78523d6a724ab400c0a5f
com.abubusoft	kripton	8.2.0-rc.2		50815770aa3b04d315f8033ef456a08e65f54941
com.abubusoft	kripton	8.2.0-rc.3		4115399588122acdbf522d2360d01ea8aa8713d6
com.abubusoft	kripton	8.2.0-rc.4		8feb8ba32e790d1c16aa759abb71d02afb8c3739
com.alihafizji.splitimageview	library	1.0.0		N/A
com.beachape	freast-cats_2.12	0.1.0		fdfa7119da737a9e8624a30920cc84ca8a1860b8
com.composum.pages.options	composum-pages-options	1.2.1		N/A
com.composum.pages.options	composum-pages-options	1.3.0		N/A
com.composum.pages.options	composum-pages-options	1.4.0		N/A
com.composum.pages.options	composum-pages-options	1.4.1		N/A
com.composum.pages.options	composum-pages-options	1.5.0		N/A
com.composum.pages.options	composum-pages-options	1.5.1		N/A
com.composum.pages.options	composum-pages-options	1.5.2		N/A
com.composum.pages.options	composum-pages-options	1.5.3		N/A
com.composum.pages.options	composum-pages-options	1.5.4		N/A
com.disneystreaming.alloy	alloy-protocol-tests_2.13	0.1.3		de75d06477094bbec5e52b1c614a1a64b844651f
com.dwolla	http4s-consul-middleware_sjs1_3	0.3.1		bc4c1949fba9d602ccfdf4ead02611e8f6b4315d
com.dwolla	http4s-consul-middleware_sjs1_3	0.3.2		0e7051a6be5f5a8677ee60a6b7e12b9f43677864
com.dwolla	http4s-consul-middleware_sjs1_3	0.3.3		ae60ff4107473b87c58a2e0a48593509ceed178b
com.dwolla	http4s-consul-middleware_sjs1_3	0.3.4		ab154e83aeb007bf4816dc6d9d01bccc5bda8e5b
com.dwolla	http4s-consul-middleware_sjs1_3	0.3.5		bbb1ae841262eb9d16d424595a83b59807e2026d
com.eclipsesource.jaxrs	publisher	3.3		b99442eb97e06bbc10b52cdbd533d36ec6abe365
com.eclipsesource.jaxrs	publisher	4.0		afed2608d2f6b16c3476982fb972b8867e5b0507
com.eclipsesource.jaxrs	publisher	4.1		5b4a6c70927d0594ddb105cd807f37a1c836a1ee
com.eclipsesource.jaxrs	publisher	4.2		be43b9b97dad5b46e3d435986e5da3986bb5b70f
com.eclipsesource.jaxrs	publisher	4.2.1		a504ce6579fe249baf2d64dbbc5652548a4a0471
com.eclipsesource.jaxrs	publisher	4.3		498dd83cf3073ce030a6997a34ba61d11f30038b
com.eclipsesource.jaxrs	publisher	5.0		ec92ebe7850521a6e1be210e818a7dfcb1b8e05f
com.eclipsesource.jaxrs	publisher	5.1		ca492118bbb3793deaa813fefc4b5a382a672bd0
com.eclipsesource.jaxrs	publisher	5.2		4b74d67f248462638300832af934386048b33405
com.eclipsesource.jaxrs	publisher	5.3		92debe0ad2e5f4b48309072d7659e36890052134
com.eclipsesource.jaxrs	publisher	5.3.1		8b3c40615a37f2c422d624c49b89193fbfaaf149
com.envimate.httpmate.integrations	httpmate-mapmate	1.0.0		40fff6995fc8f357a385aa2ba9a2852565aa407b
com.envimate.httpmate.integrations	httpmate-mapmate	1.0.14		9753c27ab9e57c530b9b5ddda72b90d750376ede
com.envimate.httpmate.integrations	httpmate-mapmate	1.0.19		a814f7698ea277630bee52626c33a4a0824265bd
com.envimate.httpmate.integrations	httpmate-mapmate	1.0.20		8c1b84045525dd1f54a83d9de73daf42fb012b8d
com.envimate.httpmate.integrations	httpmate-mapmate	1.0.21		d1c6d1b1facb66fa989fb93511c9a11d4af91a8a
com.envimate.httpmate.integrations	httpmate-mapmate	1.0.22		40b56f205816fffb0b97da37ea51c425f4915e9e
com.envimate.httpmate.integrations	httpmate-mapmate	1.0.25		d0fa9ece8f1dc97b6773bcdc5878fe911f4d3607
com.envimate.httpmate.integrations	httpmate-mapmate	1.0.26		ddb7de0c084e088581f546a897b486707bc31caf
com.gitee.zodiacstack	zodiac-template-spring-boot-starter	1.5.10		b6268a8570e2a3918c1dd7492a746bc58554bd18
com.gitee.zodiacstack	zodiac-template-spring-boot-starter	1.5.11		501723a488444b7e7b58e3cd284b88bc4f9ce0ae
com.gitee.zodiacstack	zodiac-template-spring-boot-starter	1.5.12		e870470729a2e8a85b153cc2d339980a1ff7a0e7
com.gitee.zodiacstack	zodiac-template-spring-boot-starter	1.5.13		0469df6bfc38932f3f20aaff11906603ab6e6db6
com.gitee.zodiacstack	zodiac-template-spring-boot-starter	1.5.14		01fdb9ec58c72dc45798568ef7c6fabfe5438b2f
com.gitee.zodiacstack	zodiac-template-spring-boot-starter	1.5.15		3c2d890280fb26e55d3dcfd82f03851a22677970
com.gitee.zodiacstack	zodiac-template-spring-boot-starter	1.5.16		1ebbe6425bd07935e70a00f0345bcfbcc7f1d62d
com.gitee.zodiacstack	zodiac-template-spring-boot-starter	1.5.17		a6e534765480f696c001fb9beba1cda966f0d3cb
com.gitee.zodiacstack	zodiac-template-spring-boot-starter	1.5.18		515863afc739accba386f97865ac07c6b01aeb49
com.gitee.zodiacstack	zodiac-template-spring-boot-starter	1.5.7		3d1eb1114895a37da1abc4861a6196ce2a971bf9
com.gitee.zodiacstack	zodiac-template-spring-boot-starter	1.5.8		a6494de7f86628809d6735065f0417f44e9ec560
com.gitee.zodiacstack	zodiac-template-spring-boot-starter	1.5.9		e5f27e5a04a64c91e3d1737e77f5f5b594e355f4
com.gitee.zodiacstack	zodiac-template-spring-boot-starter	1.6.0		5a2b004473460e58871e5a538f96a56d0b2b061d
com.gitee.zodiacstack	zodiac-template-spring-boot-starter	1.6.1		4a5a64be6b48cbcd8e37eee48d5409c8bcf41629
com.gitee.zodiacstack	zodiac-template-spring-boot-starter	1.6.2		aa1f280b7619e98a7f398bbfe7c2392c0ac9f0a2
com.gitee.zodiacstack	zodiac-template-spring-boot-starter	1.6.3		22777fe6e24e994f6492d4698e4e296fc69bd49e
com.gitee.zodiacstack	zodiac-template-spring-boot-starter	1.6.4		75e2ca8ed0ef3f57421b75c3f6fa027db2957438
com.gitee.zodiacstack	zodiac-template-spring-boot-starter	1.6.5		0b81ec38d3435e7b7c6e3ac620721cabcc802622
com.gitee.zodiacstack	zodiac-template-spring-boot-starter	1.6.6		f506d3d090fdda96a44248290ff31c78a326c962
com.gitee.zodiacstack	zodiac-template-spring-boot-starter	1.6.7		e6fa02dfe3b53121ce8a7d2e4fd718043aaf3cf7
com.gitee.zodiacstack	zodiac-template-spring-boot-starter	1.6.8		cefec41e684e131fb426142601435adacf444e1d
com.gitee.zodiacstack	zodiac-template-spring-boot-starter	1.7.0		e0c22443efb384bb4f5bcc0b2141fd26bac902c5
com.gitee.zodiacstack	zodiac-template-spring-boot-starter	1.7.1		1be3413c5601e1586993390f275c2e8aeca28912
com.github.120011676	credential-server	0.0.1		060b3a3bf0936248612a20e613bbbc6cfc7e0dfe
com.github.adedayo.eclipse.sdk	org.eclipse.ant.tests.ui	3.9.0		215d2c71ffae9bcc1eb9b8e80418717d9aea8229
com.github.binarywang	weixin-java-mp	0.0.1-20250512.041921		91061732601ba8f4d192d8a3ef9b232d4f11c68e
com.github.binarywang	weixin-java-mp	1.3.4		9b41f527e38edf70b1acc40e3653d36d053da033
com.github.binarywang	weixin-java-mp	1.3.5		43528ab7455072260e4aca01fef47dd3cdc44f21
com.github.binarywang	weixin-java-mp	1.3.5.1		97429576ad14ffe506ed4258d371c9008e36db5d
com.github.binarywang	weixin-java-mp	1.3.5.10		e80221634f19c7ce36429acf2af175d2d196235e
com.github.binarywang	weixin-java-mp	1.3.5.11		33cbd857fa635659abf65c92a5d2db50d01170bd
com.github.binarywang	weixin-java-mp	1.3.5.2		9e558fc02de84f32c6a9f07805dab3334bf6aa11
com.github.binarywang	weixin-java-mp	1.3.5.3		1dd2a7c6ef1fc4be10e15e59cfd6c89a6e0ce959
com.github.binarywang	weixin-java-mp	1.3.5.4		8935d16cab355f2afef96a01af32e6491735fe15
com.github.binarywang	weixin-java-mp	1.3.5.5		3864566bd2db0cccd1d326a3adb3796313aa27ab
com.github.binarywang	weixin-java-mp	1.3.5.6		f0332812adc84d70c21de0fa1df78e9c7da1bbd1
com.github.binarywang	weixin-java-mp	1.3.5.7		25e12e2b552cf1b815434caaccbd3e5ee1032456
com.github.binarywang	weixin-java-mp	1.3.5.8		81492229b11acefe289e4dba8604f55b16ccada0
com.github.binarywang	weixin-java-mp	1.3.5.9		0827d543106610d199f1794b5a4b18bf4ccbdefd
com.github.binarywang	weixin-java-mp	2.0.0		64b11c6c17ebc1203ab7ca4c7c6c7d5d605370b6
com.github.binarywang	weixin-java-mp	2.0.1		63d4149881cbec003e273700360d385c7369df16
com.github.binarywang	weixin-java-mp	2.0.2		fe8a7d7b4fe59cb2e155ab7224d3b81b2c25a024
com.github.binarywang	weixin-java-mp	2.0.3		11ac6af0c817acc93f21998457c1fa0255ffffec
com.github.binarywang	weixin-java-mp	2.0.4		f80bfd6a91fb50659e72fe95325b0a655af891b3
com.github.binarywang	weixin-java-mp	2.0.5		3ec27b40db02e237789c0a28e287defb665fe29f
com.github.binarywang	weixin-java-mp	2.1.0		a8281e9a082933d9af9799d36a07a73bcd246231
com.github.binarywang	weixin-java-mp	2.1.1		fe70914c09717bceff6e8f3ecb936019a9791d7a
com.github.binarywang	weixin-java-mp	2.1.2		3cb8c375cd3aa23de2aba9322fe3748c38af9d2e
com.github.binarywang	weixin-java-mp	2.1.3		d64a042a53f2c5f94c3316a5d85f1a114bea6133
com.github.binarywang	weixin-java-mp	2.1.4		b31089a711a6ff1a818a33c3cf524b997dedbe8b
com.github.binarywang	weixin-java-mp	2.1.5		8bbbd5a0ea55e648955e863e6a0621c1fe06e6c2
com.github.binarywang	weixin-java-mp	2.1.6		57f43cc9663760188176236ccffb1986d833e8c0
com.github.binarywang	weixin-java-mp	2.1.7		48e469c82a7dfe7c5fa5c02c8d02141a8a9b154b
com.github.binarywang	weixin-java-mp	2.1.8		2bc08708235fcdb6f5a00b52489f9fd75cd0fe6d
com.github.binarywang	weixin-java-mp	2.1.9		c311b7107d73175d73b407d9b3d09c45ad42cf79
com.github.binarywang	weixin-java-mp	2.2.0		3737f035d906139756847289937adde06d04e83f
com.github.binarywang	weixin-java-mp	2.2.1		9ab799891a1a42c35f3557f2005ad6ef78ba8c87
com.github.binarywang	weixin-java-mp	2.2.2		45b2261deb15c205e1f29028824bf0e9e6763fc8
com.github.binarywang	weixin-java-mp	2.2.3		4b5f3a653d9da6046744446947160a476e1b854c
com.github.binarywang	weixin-java-mp	2.2.4		8bc881522def12329a2bf3b17fb4e749de0ee736
com.github.binarywang	weixin-java-mp	2.2.5		a3599706a65f60913093d596c7048cc07424c21d
com.github.binarywang	weixin-java-mp	2.2.6		8242d4ce1fdc868c0ea8beb63384f01127a460d0
com.github.binarywang	weixin-java-mp	2.2.7		ed9448d6f21276a7b9d2b8d2aed48bd6f0d8e2bc
com.github.binarywang	weixin-java-mp	2.3.0		ca705c05efb530c7210bdf99d119680e40091fea
com.github.binarywang	weixin-java-mp	2.3.1		58f6e16c622992181a28fae0fc9957dd27ba1b89
com.github.binarywang	weixin-java-mp	2.4.0		139c3eaa278475a151374ae8f1aea77c95a5ecf4
com.github.binarywang	weixin-java-mp	2.4.1		309d479bbe9e9e28bccab2a8f9f3de827c69f382
com.github.binarywang	weixin-java-mp	2.4.2		28380500c2afbc4b3754b130fff2af08fe77c818
com.github.binarywang	weixin-java-mp	2.4.3		2e3fafc4910875514eef91bc6f86eb6a4771bf30
com.github.binarywang	weixin-java-mp	2.4.4-beta		d9b9dac10e869093e37c781d1d958aec20121532
com.github.binarywang	weixin-java-mp	2.4.4.BETA		a239b55f7ca92dd59f87b483193487b1ad61124b
com.github.binarywang	weixin-java-mp	2.4.5.BETA		3917859acefd61e0bdd25fc90788448f6bab46a3
com.github.binarywang	weixin-java-mp	2.4.6.BETA		68dc3ab9554f38decc6f1137e7b89e146c5991bf
com.github.binarywang	weixin-java-mp	2.4.7.BETA		dad04c4d88c4479f629feab13ca63d3b4234687a
com.github.binarywang	weixin-java-mp	2.4.8.BETA		b6c0ee1dde65bd48f78ff91af232362b388ecb40
com.github.binarywang	weixin-java-mp	2.4.9.BETA		5a83378fe8fa8cc4269464635b4e199f04d6f82f
com.github.binarywang	weixin-java-mp	2.5.0		c202b6ee9eb4a9434f94297e04d6577cb26bfa68
com.github.binarywang	weixin-java-mp	2.5.1.BETA		daf88bbaae6cd8eba47743f1cc4cfc67e8364ca2
com.github.binarywang	weixin-java-mp	2.5.2.BETA		d1b13e13e81536e24308d373813c293dfb286b65
com.github.binarywang	weixin-java-mp	2.5.3.BETA		f6d002be2bcd94fa68c58e98cdf7faee01140267
com.github.binarywang	weixin-java-mp	2.5.4.BETA		8f88d09cae5de07eb0ae78418a842442a60ced89
com.github.binarywang	weixin-java-mp	2.5.5.BETA		35b36c5aca6a4d77a82d4bd5f63f2a158b2efd22
com.github.binarywang	weixin-java-mp	2.5.6.BETA		dca435040cecd7a5231106ab82f4e205f33c1792
com.github.binarywang	weixin-java-mp	2.5.7.BETA		55063a8d135f3a86032d719d162181c7710b3cc2
com.github.binarywang	weixin-java-mp	2.6.0		42eaa613fef2783d7bb207442f6dd0b46d40708d
com.github.binarywang	weixin-java-mp	2.6.1.BETA		5bce4c29b8041b71b7b8b1c7fb4a3b7db9a9f82b
com.github.binarywang	weixin-java-mp	2.6.2.BETA		810385b4e2273ecfad14ad8ffaf2826be0413027
com.github.binarywang	weixin-java-mp	2.6.3.BETA		ab22f7cee1ee31db20b94a7c6b608580be7843bb
com.github.binarywang	weixin-java-mp	2.6.4.BETA		5dc1c106052af2fa71b20f6930c12402656d8fbc
com.github.binarywang	weixin-java-mp	2.6.5.BETA		2d456914d8b763078f63986997823f9bbfb55f34
com.github.binarywang	weixin-java-mp	2.7.0		309c24972f21329b1f0328b4729b21abb49d4196
com.github.binarywang	weixin-java-mp	2.7.1.BETA		5eff40f7abb13c4815ed3a38af509d3bbd0b687b
com.github.binarywang	weixin-java-mp	2.7.2.BETA		494aed4a2114d0323a77e6238a1e281b9380fd8d
com.github.binarywang	weixin-java-mp	2.7.3.BETA		73c85561287d93bad884fb96726f247fc82ae69e
com.github.binarywang	weixin-java-mp	2.7.4.BETA		14c1df941e628e2e501bf8081d8dc526a0447b20
com.github.binarywang	weixin-java-mp	2.7.5.BETA		ca70b22eecdaa3111050c4562314d03560b2e548
com.github.binarywang	weixin-java-mp	2.7.6.BETA		58cecf99ff3c443179f68b0455e4ddee07aa477d
com.github.binarywang	weixin-java-mp	2.7.7		989564e22a4fc6298f0d8d2cd81dab8d4c628990
com.github.binarywang	weixin-java-mp	2.7.7.BETA		492956c61b30f80b17a12c996a41663cf1e094d5
com.github.binarywang	weixin-java-mp	2.7.8		600a0766eb79e3a8ca4474360cd8926f568e3034
com.github.binarywang	weixin-java-mp	2.7.8.BETA		1ddc71e2cb5d5b5dd1221063fadbf9a8f2190a03
com.github.binarywang	weixin-java-mp	2.7.9.BETA		000b66917d2c2aa7fab01e7ed04c950967ad8f31
com.github.binarywang	weixin-java-mp	2.8.0		ac421cd957ef41e4ea8e98ab90d86c0e0c50fe6c
com.github.binarywang	weixin-java-mp	2.8.1.BETA		ab418b5ac90ceb6fd856f03028c51d5a68c38df2
com.github.binarywang	weixin-java-mp	2.8.2.BETA		f8c5e39db208ad291c521b9f82cca899dd130a65
com.github.binarywang	weixin-java-mp	2.8.3.BETA		e03d380dcfb6f9554d79045a97a1e7f0f39b3131
com.github.binarywang	weixin-java-mp	2.8.4.BETA		ac8c0d5aef9d7ed7d18357eb6e5b486ed2042198
com.github.binarywang	weixin-java-mp	2.8.5.BETA		7b7a71112d52e62a36d29edc0cbaaf8519778e59
com.github.binarywang	weixin-java-mp	2.8.6.BETA		f73c93b4fb5afcf6a354a21b262874b626aeb638
com.github.binarywang	weixin-java-mp	2.8.7.BETA		1b6ad96e50d9cf76190e864b40fc0d7ff24c4358
com.github.binarywang	weixin-java-mp	2.8.8.BETA		92fadbba6c1b1b72450a14e4052280ef2a31205e
com.github.binarywang	weixin-java-mp	2.8.9.BETA		d5ff1c68359f8106fe727542ed500d449d228969
com.github.binarywang	weixin-java-mp	2.9.0		de62a1586ddce5a1ecbca04a455986aa2715b960
com.github.binarywang	weixin-java-mp	2.9.1.BETA		e7422c0fa4f4da69764f8fab8878327add18f7d4
com.github.binarywang	weixin-java-mp	2.9.2.BETA		3c91db288c756b30fe73419b59e5668a1e0c3600
com.github.binarywang	weixin-java-mp	2.9.3.BETA		45685fb36bf767b67a91fb28b71ad71da1adc79f
com.github.binarywang	weixin-java-mp	2.9.4.BETA		4d0df6bc9ac1ae57ed6580143763d67d02116f83
com.github.binarywang	weixin-java-mp	2.9.5.BETA		f3466b1d5d61ba3f93501a7dd702af63bbe0556e
com.github.binarywang	weixin-java-mp	2.9.6.BETA		277f53fdeb2508c8acfbe036d4bc915bec8c4d63
com.github.binarywang	weixin-java-mp	2.9.7.BETA		31ab090e3c499791aec57411e86676eb67a725af
com.github.binarywang	weixin-java-mp	2.9.8.BETA		f14a4bebfa8ab37e54ec953c4e1f962171346004
com.github.binarywang	weixin-java-mp	2.9.9.BETA		69469c3d75e20711d03d061fde4f76467b3aaa1d
com.github.binarywang	weixin-java-mp	3.0.0		2bb30219aa64d862ef0921f1fe4deddb1225daf9
com.github.binarywang	weixin-java-mp	3.0.1.BETA		23cda86b1dfb787c7e3212af379421a3099ae3a0
com.github.binarywang	weixin-java-mp	3.0.2.BETA		d9b40764d3a70a1447870026b0e79c51ad662ca5
com.github.binarywang	weixin-java-mp	3.0.3.BETA		1dbaf563bdc55c6c321c23445c9e3b9aa3f0e586
com.github.binarywang	weixin-java-mp	3.0.4.BETA		37cca322664a2c2d21a083961be0acb2865c9ddf
com.github.binarywang	weixin-java-mp	3.0.5.BETA		86e0872c2adcc17a885ca3a4ed843f4f8f833613
com.github.binarywang	weixin-java-mp	3.0.6.BETA		2dc8ac45a10a697f4b7d7df2059088c24eb3098a
com.github.binarywang	weixin-java-mp	3.0.7.BETA		7fd760074cce074fe5b2f15bf43d8aeec045b450
com.github.binarywang	weixin-java-mp	3.0.8.BETA		ecf3cfa3fbb31a45a7dbbaab1fc6e94efa5331a0
com.github.binarywang	weixin-java-mp	3.0.9.BETA		a6b61c45612a44ff08ed9a814fd934c16f3d191f
com.github.binarywang	weixin-java-mp	3.1.0		1aa2ef5c05bfd3041265bc56163e662bed0c9f1c
